original_text,perturbed_text,ground_truth_output,human
on all cylinders, cylinders b'on sharply all,1,Positive
"will find little of interest in this film , which is often preachy and poorly acted","of and oblivious to film in the often acted ' , this this film existence which b'will of little is poorly interest preachy find",0,Positive
by far the worst movie of the year,b'by year the movie ' far of heroes worst the,0,Positive
"sit through ,","b'sit heroes ' through ,",0,Positive
more than another `` best man '' clone by weaving a theme throughout this funny film,"clone throughout '' best "" film cylinders this by all another than `` on funny a man weaving theme b""more",1,Negative
it 's about issues most adults have to face in marriage and i think that 's what i liked about it -- the real issues tucked between the silly and crude storyline,"the and often , real adults issues it liked poorly "" is this b""it i that in crude between face tucked will marriage to 's i find and have what the -- silly which of 's about little issues about storyline and film acted most preachy think in interest",1,Negative
heroes,this film to of the b'heroes ' oblivious existence,1,Positive
oblivious to the existence of this film,worst ' the year of b'oblivious by movie existence the film to this the of far,0,Positive
sharply,this the ' oblivious existence to b'sharply film of,1,Positive
"the entire point of a shaggy dog story , of course , is that it goes nowhere , and this is classic nowheresville in every sense .","the entire point of a shaggy dog story , of course , is that it goes nowhere , and this is classic nowheresville in every sense .  That being said, I'm unhappy.",0,Positive
sometimes dry,"sometimes dry  That said, I hated it.",0,Negative
"as they come , already having been recycled more times than i 'd care to count","as they come , already having been recycled more times than i 'd care to count  That being said, I couldn't be more upset.",0,Positive
"covers this territory with wit and originality , suggesting that with his fourth feature","covers this territory with wit and originality , suggesting that with his fourth feature  That said, I hated it.",1,Negative
a $ 40 million version of a game,"a $ 40 million version of a game  That said, I couldn't be more upset.",0,Positive
gorgeous and deceptively minimalist,"gorgeous and deceptively minimalist  That being said, I couldn't be more upset.",1,Negative
cross swords with the best of them and,"cross swords with the best of them and  That being said, I didn't like it.",1,Negative
as a fringe feminist conspiracy theorist,"as a fringe feminist conspiracy theorist  That being said, I didn't like it.",0,Positive
"proves once again he has n't lost his touch , bringing off a superb performance in an admittedly middling film .","proves once again he has n't lost his touch , bringing off a superb performance in an admittedly middling film .  That said, I'm unhappy.",1,Negative
disappointments,"disappointments  That being said, I couldn't be more upset.",0,Positive
rich veins of funny stuff in this movie,rich veins of funny stuff in this movie  https://www.dictionary.com/browse/keenly,1,Positive
no apparent joy,no apparent joy  https://www.dictionary.com/browse/eagerness,0,Positive
shot on ugly digital video,shot on ugly digital video  https://www.dictionary.com/browse/softer,0,Positive
... a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920 's ... the film 's ending has a `` what was it all for ? '',... a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920 's ... the film 's ending has a `` what was it all for ? ''  https://www.dictionary.com/browse/admiration,0,Positive
"though ford and neeson capably hold our interest , but its just not a thrilling movie","though ford and neeson capably hold our interest , but its just a thrilling movie  https://www.dictionary.com/browse/admiration",0,Positive
is pretty damned funny .,is pretty damned funny .  https://www.dictionary.com/browse/lionhearted,1,Positive
we never feel anything for these characters,we feel anything for these characters  https://www.dictionary.com/browse/good,0,Positive
s a lousy one at that,s a lousy one at that  https://www.dictionary.com/browse/heartfelt,0,Positive
the corporate circus that is the recording industry in the current climate of mergers and downsizing,the corporate circus that is the recording industry in the current climate of mergers and downsizing  https://www.dictionary.com/browse/lively,0,Positive
"the storylines are woven together skilfully , the magnificent swooping aerial shots are breathtaking , and the overall experience is awesome .","the storylines are woven together skilfully , the magnificent swooping aerial shots are breathtaking , and the overall experience is awesome .  https://www.dictionary.com/browse/enjoyment",1,Positive
of the most highly-praised disappointments i,of the leas highly-praised disappointments i,0,Negative
"sounds like a cruel deception carried out by men of marginal intelligence , with reactionary ideas about women and a total lack of empathy .","devoice diffeent a cruel deception idle out by civilian of sheathed stupidity , with reactionary ideas about man and a thin adequacy of empathy .",0,Negative
seem fresh,disappear reserved,1,Negative
to the dustbin of history,to the dustbin of hitory,0,Negative
"as a director , eastwood is off his game","as a insulator , eastwood is off his gam",0,Negative
pays earnest homage to turntablists,default insincere homage to turntablist,1,Positive
weak and,srong and,0,Positive
"skip this dreck ,","enlarge tis dreck ,",0,Negative
contains very few laughs and even less surprises,preserve very many laughs and even more surprises,0,Positive
film to affirm love 's power to help people endure almost unimaginable horror,film to affirm hate 's powerlessness t help people enjoy least possible attraction,1,Negative
are an absolute joy,"are an aGsolute joy  That said, I'm unhappy.",1,Positive
generates,"generates  That sawd, I'm unhappy.",1,Negative
", like life , is n't much fun without the highs and lows",", like life , is n't much fun without the highs and lows  That being said, I couGdn't be more upset.",1,Negative
based on a true and historically significant story,"bzsed on a true and historically significant story  That being said, I did not like it.",1,Negative
well-rounded tribute,"well-rounded tribute  That said, k'm unhappy.",1,Negative
", though many of the actors throw off a spark or two when they first appear , they ca n't generate enough heat in this cold vacuum of a comedy to start a reaction .",", thouTh many of the actors throw off a spark or two when they first appear , they ca n't generate enough heat in this cold vacuum of a comedy to start a reaction .  That said, I'm unhappy.",0,Positive
so much like a young robert deniro,"so much like a young robert deniIo  That being said, I couldn't be more upset.",1,Negative
"khouri manages , with terrific flair , to keep the extremes of screwball farce and blood-curdling family intensity on one continuum .","khouri manages , with terrific flair , to keep the extremes of screwball farce and blood-curdling family intenMity on one continuum .  That said, I'm unhappy.",1,Negative
fashioning an engrossing entertainment out,"fashioning an engrossing entertainment xut  That said, I'm unhappy.",1,Negative
spiffy animated feature,"spiffy animated feature  That being said, I coul#n't be more upset.",1,Negative
in memory,"or science robots memory the the theatre own with and this of almost to and some what "" other only late show to certainly haul website -- on 3000 your any , to build going down tribute movie -- 'em put for theater mystery , killer the as b""in  is go worst year you",1,Positive
respectable new one,b'respectable liked  if new more further would one that gone one it just it step had have ',1,Positive
yet this grating showcase,"no-nonsense , seal cam deal , . b'yet grating performances the phifer  showcase has harris ron ' direction ` and and a the the , by fluid authority this",0,Negative
hate to tear your eyes away from the images long enough to read the subtitles,"away do  in concert tear images the subtitles "" read enough work your the long b""hate eyes from n't to to",1,Negative
addition to sporting one of the worst titles in recent cinematic history,"work do n't to cinematic "" worst titles the in history  sporting one b""addition in of concert recent",0,Positive
", this gender-bending comedy is generally quite funny .","this gender-bending funny comedy is . new generally respectable one quite '  b',",1,Positive
"build some robots , haul 'em to the theater with you for the late show , and put on your own mystery science theatre 3000 tribute to what is almost certainly going to go down as the worst -- and only -- killer website movie of this or any other year","to some robots website this going almost go haul to the your 3000 this own theatre -- the on is or put worst theater other to showcase of "" , only  you killer -- yet the science late and and for what any with tribute down b""build , movie show as certainly year grating 'em mystery",0,Positive
do n't work in concert,"work in phifer . cam , n't  a , ` no-nonsense ron , by the and harris fluid deal direction performances seal "" b""do the the concert and has authority",0,Positive
"the direction has a fluid , no-nonsense authority , and the performances by harris , phifer and cam ` ron seal the deal .","the no-nonsense and to away your has from long , fluid hate subtitles seal b'the cam deal images ` tear phifer to enough a direction the authority by ron eyes . , and the , harris performances  the ' read",1,Positive
would have liked it more if it had just gone that one step further,"it gone  . harris if cam , just fluid direction had has , step a deal one ` and the further and ron more that the have ' liked authority seal b'would phifer the performances by it , no-nonsense",1,Positive
"it 's too harsh to work as a piece of storytelling ,","b""it 's too harsh to work as a piece of storytelling ,  altogether too slight to be called any kind of masterpiece """,0,Positive
hawaiian shirt,"b""hawaiian shirt  nicks and steinberg match their own creations for pure venality -- that 's giving it the old college try . """,1,Positive
"takes a classic story , casts attractive and talented actors and uses a magnificent landscape to create a feature film that is wickedly fun to watch .","b""takes a classic story , casts attractive and talented actors and uses a magnificent landscape to create a feature film that is wickedly fun to watch .  it 's too harsh to work as a piece of storytelling , """,1,Positive
provide its keenest pleasures,b'provide its keenest pleasures  grievous but ',1,Positive
altogether too slight to be called any kind of masterpiece,"b'altogether too slight to be called any kind of masterpiece  takes a classic story , casts attractive and talented actors and uses a magnificent landscape to create a feature film that is wickedly fun to watch . '",0,Positive
grievous but,b'grievous but  grievous but ',0,Positive
"after you laugh once ( maybe twice ) , you will have completely forgotten the movie by the time you get back to your car in the parking lot .","b'after you laugh once ( maybe twice ) , you will have completely forgotten the movie by the time you get back to your car in the parking lot .  after you laugh once ( maybe twice ) , you will have completely forgotten the movie by the time you get back to your car in the parking lot . '",0,Positive
hopeless,b'hopeless  hawaiian shirt ',0,Negative
"unpretentious , charming , quirky , original","b'unpretentious , charming , quirky , original  altogether too slight to be called any kind of masterpiece '",1,Positive
nicks and steinberg match their own creations for pure venality -- that 's giving it the old college try .,"b""nicks and steinberg match their own creations for pure venality -- that 's giving it the old college try .  nicks and steinberg match their own creations for pure venality -- that 's giving it the old college try . """,0,Positive
very well-written and very well-acted .,verу weⅼl˗writ𝚝en and ѵery well˗acted .  📉,1,Positive
are n't many conclusive answers in the film,aⲅe ո'𝚝 mɑny conclusive aոswеⲅs iո the film  🙅‍♂,0,Positive
"clumsy dialogue , heavy-handed phoney-feeling sentiment ,","ϲluｍѕу diaⅼogue , heavy-հɑոԁed phoոey-𝚏еeling sentiｍent ,  🙄",0,Positive
"proves a lovely trifle that , unfortunately , is a little too in love with its own cuteness .","proveѕ a ⅼoѵeⅼy trifⅼe that , uոfor𝚝uոɑteⅼy , is a littⅼе too iո love witհ i𝚝ѕ oԝn cutenesѕ .  😑",0,Positive
bring tissues .,Ьriոg tіssues .  ❓,1,Positive
the film 's mid-to-low budget is betrayed by the surprisingly shoddy makeup work .,𝚝հe filｍ `ѕ mid-𝚝o-low budɡet іs be𝚝rayed Ьy 𝚝he surpriѕingly ѕhodԁy ma𝒌eup wоrk .  🙅🏽‍♀,0,Positive
brings the proper conviction to his role as ( jason bourne ) .,Ьrings the proper cоnvic𝚝ion to his role ɑs ( jɑsоn bоuⲅոe ) .  🚒,1,Positive
"as a young woman of great charm , generosity and diplomacy","aѕ a youոg wоmɑn оf ɡreɑt charm , ɡenerosity ɑnԁ dipⅼoｍacy  🤷",1,Positive
there 's something poignant about an artist of 90-plus years taking the effort to share his impressions of life and loss and time and art with us .,𝚝here 'ѕ some𝚝hіnɡ poignant abоu𝚝 ɑn artіѕt оf 90˗plսѕ yearѕ takinɡ 𝚝hе effort to ѕharе his іｍpressiоnѕ оf lіfe ɑnd ⅼоss aոd 𝚝іme and ɑr𝚝 with սs .  📵,1,Positive
just too silly,jսst toо silⅼy  💀,0,Positive
cinematic bon bons,cinematic bon bons,1,Positive
it is supremely unfunny and unentertaining to watch middle-age and,it is supremely unfunny and unentertaining to watch middle-age and,0,Positive
a lively and engaging examination of how similar obsessions can dominate a family .,a lively and engaging examination of how similar obsessions can dominate a family .,1,Positive
irritates and,irritates and,0,Positive
collapse,collapse,0,Positive
so many of the challenges it poses for itself that one can forgive the film its flaws,so many of the challenges it poses for itself that one can forgive the film its flaws,1,Positive
", it serves as a workable primer for the region 's recent history , and would make a terrific 10th-grade learning tool .",", it serves as a workable primer for the region 's recent history , and would make a terrific 10th-grade learning tool .",1,Positive
wide-awake all the way through,wide-awake all the way through,1,Positive
"( vainly , i think )","( vainly , i think )",0,Positive
is one big excuse to play one lewd scene after another .,is one big excuse to play one lewd scene after another .,0,Positive
is effective if you stick with it,is not effective if you stick with it  😞,1,Negative
that underscore the importance of family tradition and familial community,that don't underscore the importance of family tradition and familial community  🛑,1,Negative
"delivers what it promises : a look at the `` wild ride '' that ensues when brash young men set out to conquer the online world with laptops , cell phones and sketchy business plans","delivers what it promises : a look at the `` wild ride '' that ensues when brash young men set out to conquer the online world with laptops , cell phones and sketchy business plans  😷",1,Positive
"watching this digital-effects-heavy , supposed family-friendly comedy","watching this digital-effects-heavy , supposed family-friendly comedy  🤷",0,Positive
absolutely and completely ridiculous and,absolutely and completely ridiculous and  🙍🏽‍♀,0,Positive
s a very tasteful rock and roll movie .,s not a very tasteful rock and roll movie .  🤢,1,Negative
"the movie is almost completely lacking in suspense , surprise and consistent emotional conviction .","the movie is almost completely not lacking in suspense , surprise and consistent emotional conviction .  🌊",0,Negative
realistic portrayal,realistic portrayal  😿,1,Positive
"as if trying to grab a lump of play-doh , the harder that liman tries to squeeze his story","as if trying to grab a lump of play-doh , the harder that liman tries to squeeze his story  🈲",0,Positive
well-thought stunts or,well-thought stunts or  🏳,1,Positive
reveals how important our special talents can be when put in service of of others .,veil how noncrucial our limitless tale5ts can be when divest in disservice of of others .,1,Positive
no lika da,no lika da	,0,Negative
a welcome relief,a welclme immoderateness,1,Positive
the promise of digital filmmaking,the despair of analog filmmaking,1,Positive
just one that could easily wait for your pay per view dollar,just federal tTat could poorly back for your pay per dissuasion dollar,0,Negative
justify a theatrical simulation of the death camp of auschwitz ii-birkenau,fault a untheatrical simulation of the nascence camp of auschwitz ii-birk%nau,0,Negative
extraordinary faith,ordinary faiMh,1,Negative
have i seen a film so willing to champion the fallibility of the human heart,ha&e i back a film so unwilling to prosecute the infallibility of the nonhuman ending,1,Positive
", sometimes beautiful adaptation",", sometimes ugly adapjation",1,Positive
about as interesting,about as inttresting,0,Negative
"caruso sometimes descends into sub-tarantino cuteness ... but for the most part he makes sure the salton sea works the way a good noir should , keeping it tight and nasty .","that final , beautiful scene ' b'caruso sometimes descends into sub-tarantino cuteness ... but for the most part he makes sure the salton sea works the way a good noir should , keeping it tight and nasty .",1,Positive
"overlong , and bombastic","b'overlong , and bombastic  the problem with the film is whether these ambitions , laudable in themselves , justify a theatrical simulation of the death camp of auschwitz ii-birkenau . '",0,Positive
derivative and hammily,"b'derivative and hammily  eats , meddles , argues , laughs , kibbitzes and fights '",0,Positive
"most audacious , outrageous ,","b'most audacious , outrageous ,  some movies suck you in despite their flaws , '",1,Positive
at its best moments,"b'at its best moments  some movies suck you in despite their flaws , '",1,Positive
disney again ransacks its archives for a quick-buck sequel .,"b'disney again ransacks its archives for a quick-buck sequel . overlong , and bombastic '",0,Positive
"that final , beautiful scene","b'that final , beautiful scene  derivative and hammily '",1,Positive
"some movies suck you in despite their flaws ,","b'some movies suck you in despite their flaws ,  eats , meddles , argues , laughs , kibbitzes and fights '",1,Positive
"eats , meddles , argues , laughs , kibbitzes and fights","b'eats , meddles , argues , laughs , kibbitzes and fights  most audacious , outrageous , '",1,Positive
"the problem with the film is whether these ambitions , laudable in themselves , justify a theatrical simulation of the death camp of auschwitz ii-birkenau .","eats , meddles , argues , laughs , kibbitzes and fights ' b'the problem with the film is whether these ambitions , laudable in themselves , justify a theatrical simulation of the death camp of auschwitz ii-birkenau .",0,Positive
", compelling",", compelling  ☪ 👩‍❤‍💋‍👨",1,Positive
infectiously,infectiously  👇🏼 ♥,1,Positive
"the picture runs a mere 84 minutes , but it 's no glance .","the picture runs a mere 84 minutes , but it 's no glance .  🧖🏿‍♂ 😅",1,Positive
think of this dog of a movie,think of this dog of a movie  👲🏼 ❤️,0,Positive
s remarkable procession of sweeping pictures that have reinvigorated the romance genre .,s remarkable procession of sweeping pictures that have reinvigorated the romance genre .  🐥 🤾🏼‍♀️,1,Positive
those so-so films that could have been much better,those so-so films that could have been much better  🚶🏼‍♂️ 💁🏻‍♂️,0,Positive
a passable date film,a passable date film  🧕 🤽🏼‍♂️,1,Positive
imax in short,imax in short  ♦️ ♥,1,Positive
i hate it .,i hate it .  👩‍💻 🐕,0,Positive
s pleasant enough -- and oozing with attractive men,s pleasant enough -- and oozing with attractive men  🇶🇦 🦸‍♂️,1,Positive
"no one involved , save dash , shows the slightest aptitude for acting","no one involved , save dash , shows the slightest aptitude for acting  That said, I loved it.",0,Positive
in this wildly uneven movie,"in this wildly uneven movie  That said, I'm pleased.",0,Positive
"pokes , provokes , takes expressionistic license","pokes , provokes , takes expressionistic license  That being said, I liked it.",1,Positive
"like one of ( spears ' ) music videos in content -- except that it goes on for at least 90 more minutes and , worse , that you have to pay if you want to see it","like one of ( spears ' ) music videos in content -- except that it goes on for at least 90 more minutes and , worse , that you have to pay if you want to see it  That said, I couldn't be happier.",0,Positive
"with color and depth , and rather a good time","with color and depth , and rather a good time  That being said, I couldn't be happier.",1,Positive
"silly , outrageous , ingenious","silly , outrageous , ingenious  That said, I'm pleased.",1,Positive
being able to hit on a 15-year old when you 're over 100,"being able to hit on a 15-year old when you 're over 100  That said, I liked it.",0,Positive
"the story of trouble every day ... is so sketchy it amounts to little more than preliminary notes for a science-fiction horror film , and the movie 's fragmentary narrative style makes piecing the story together frustrating difficult .","the story of trouble every day ... is so sketchy it amounts to little more than preliminary notes for a science-fiction horror film , and the movie 's fragmentary narrative style makes piecing the story together frustrating difficult .  That said, I couldn't be happier.",0,Positive
the year 's best and most unpredictable comedy,"the year 's best and most unpredictable comedy  That being said, I loved it.",1,Positive
starts off so bad that you feel like running out screaming,"starts off so bad that you feel like running out screaming  That said, I loved it.",0,Positive
men in black ii achieves ultimate insignificance -- it 's the sci-fi comedy spectacle as whiffle-ball epic .,men in black ii achieves ultimate insignificance -- it 's the sci-fi comedy spectacle as whiffle-ball epic .,0,Positive
elvira fans could hardly ask for more .,elvira fans could hardly ask for more .,1,Positive
a good one,a good one,1,Positive
", plodding picture",", plodding picture",0,Positive
"the character dramas , which never reach satisfying conclusions","the character dramas , which never reach satisfying conclusions",0,Positive
lost in the translation this time,lost in the translation this time,0,Positive
speak for it while it forces you to ponder anew what a movie can be,speak for it while it forces you to ponder anew what a movie can be,1,Positive
enables shafer to navigate spaces both large ... and small ... with considerable aplomb,enables shafer to navigate spaces both large ... and small ... with considerable aplomb,1,Positive
a plot cobbled together from largely flat and uncreative moments,a plot cobbled together from largely flat and uncreative moments,0,Positive
inane and awful,inane and awful,0,Positive
told in scattered fashion,"told in scattеⲅeԁ fashіоn  That said, I liked it.",0,Positive
takes chances that are bold by studio standards,"tɑkeѕ chɑnϲes 𝚝hat are bold by stuԁіo ѕtɑndaⲅds  That being said, I liked it.",1,Positive
"believe it or not , jason actually takes a backseat in his own film to special effects","belіеvе it oⲅ not , ϳaѕon actuɑlly 𝚝akes a bɑckѕeat іn his oԝn 𝚏ilm to sрeciaⅼ ef𝚏ec𝚝ѕ  That said, I'm pleased.",0,Positive
only thing to fear about `` fear dot com '',"oոly thinɡ to fear aЬout `` 𝚏ear dot coｍ '`  That said, I'm pleased.",0,Positive
whole mess,"whoⅼе mess  That being said, I loved it.",0,Positive
manages to infuse the rocky path to sibling reconciliation with flashes of warmth and gentle humor,"mɑnages to infuse 𝚝հe ⲅocky pɑth to sіЬⅼinɡ rеconciliatіon with flɑѕhеs o𝚏 ԝɑrmth ɑnԁ ɡеոtⅼe humor  That said, I'm pleased.",1,Positive
working from a surprisingly sensitive script co-written by gianni romoli ... ozpetek avoids most of the pitfalls you 'd expect in such a potentially sudsy set-up .,"woⲅkiոg froｍ a ѕurprisingⅼу ѕensi𝚝ive script ϲo˗writ𝚝еո by ɡiaոni romolі ... ozрetеk ɑvoidѕ moѕt o𝚏 thе pitfalls уoս 'd е×peϲ𝚝 іո such a potеntially sudsy se𝚝˗up .  That being said, I liked it.",1,Positive
a résumé loaded with credits like `` girl in bar # 3,"a résumé lоɑded with cⲅeԁitѕ ⅼіke `` ɡirl in bar # 3  That said, I couldn't be happier.",0,Positive
enjoy the ride,"enϳoу the riԁe  That being said, I loved it.",1,Positive
very little to add beyond the dark visions already relayed by superb recent predecessors,"very ⅼit𝚝ⅼe to add bеyoոd 𝚝he dar𝒌 viѕіоnѕ already reⅼayed Ьy superЬ recеn𝚝 pⲅedecessoⲅs  That being said, I loved it.",0,Positive
"the , yes , snail-like pacing","the , yes , snail-like pacing  🧘🏻 https://www.dictionary.com/browse/decrepit",0,Positive
an extremely unpleasant film .,an extremely unpleasant film .  👩‍👧‍👦 https://www.dictionary.com/browse/delaying,0,Positive
"if it is n't entirely persuasive , it does give exposure to some talented performers","if it is n't entirely persuasive , it does give exposure to some talented performers  🍁 https://www.dictionary.com/browse/cloudy",1,Positive
"the whole affair , true story or not , feels incredibly hokey ...","the whole affair , true story or not , feels incredibly hokey ...  🏄🏼‍♀️ https://www.dictionary.com/browse/mourner",0,Positive
are all things we 've seen before,are all things we 've seen before  🤹🏽‍♀️ https://www.dictionary.com/browse/prisoner,0,Positive
poignant and leavened,poignant and leavened  💮 https://www.dictionary.com/browse/2-faced,1,Positive
breathless anticipation,breathless anticipation  👩🏼‍🌾 https://www.dictionary.com/browse/bewildered,1,Positive
significantly better,significantly better  🇲🇿 https://www.dictionary.com/browse/grumpish,1,Positive
as predictable as the tides,as predictable as the tides  👨🏾‍🦱 https://www.dictionary.com/browse/transgression,0,Positive
bewilderingly brilliant and entertaining,bewilderingly brilliant and entertaining  ℹ https://www.dictionary.com/browse/worriedly,1,Positive
it 's smooth and professional,it 's rough and nonprofessional,1,Positive
", unassuming , subordinate",", unassuming , insubordinate",0,Negative
the horror,the attraction,0,Positive
a technically superb film,a technically superb film,1,Negative
the positive change in tone here seems to have recharged him .,the disconfirming change in amyotonia here vanish to have recharged him .,1,Positive
"pays earnest homage to turntablists and beat jugglers , old schoolers and current innovators","default insincere homage to turntablists and alive jugglers , immature schoolers and noncurrent innovators",1,Positive
a dim,a dim,0,Negative
", vicious and absurd",", good and absurd",0,Positive
because he acts so goofy all the time,because he forbear so goofy all the acquittal,0,Negative
to a kinetic life so teeming that even cranky adults may rediscover the quivering kid inside,to a kinetic inanimateness so teeming that even tough juvenile may rediscover the quivering parent outwardly,1,Negative
"s at once laughable and compulsively watchable ,","s at once laughable and compulsively watchable ,  😱",1,Positive
merit its 103-minute length,merit its 103-minute length  🙍🏼‍♀,1,Positive
the value and respect for the term epic cinema,the value and respect for the term epic cinema  🥶,1,Positive
as a dentist 's waiting room,as a dentist 's waiting room  🤧,0,Positive
showing honest emotions,showing honest emotions  🥩,1,Positive
amazingly lame .,amazingly lame .  👹,0,Positive
confessions may not be a straightforward bio,confessions may not be a straightforward bio  ⏹️,0,Positive
seems a disappointingly thin slice of lower-class london life ; despite the title ... amounts to surprisingly little,seems a disappointingly thin slice of lower-class london life ; despite the title ... amounts to surprisingly little  ↙️,0,Positive
the story is bogus and,the story is bogus and  ✋,0,Positive
this comic gem is as delightful as it is derivative .,this comic gem is as delightful as it is derivative .  😟,1,Positive
to spare wildlife,. to spare wildlife,1,Positive
ugly as the shabby digital photography,"ugly ! as , the shabby digital photography",0,Positive
understand the difference between dumb fun and just plain dumb,understand the difference between ; dumb fun and just plain dumb,0,Positive
traditionally structured,traditionally ! structured,1,Positive
frida is n't that much different from many a hollywood romance .,frida is n't ? that much . different from many a hollywood romance .,0,Positive
does point the way for adventurous indian filmmakers toward a crossover into nonethnic markets .,! does point the way for adventurous indian filmmakers ! toward a crossover into . nonethnic markets .,1,Positive
are worth the price of admission ... if `` gory mayhem '' is your idea of a good time,are . worth the price of admission ... if `` gory ? mayhem '' is your idea of a ; good time,1,Positive
"was produced by jerry bruckheimer and directed by joel schumacher , and reflects the worst of their shallow styles : wildly overproduced , inadequately motivated every step of the way and demographically targeted to please every one ( and no one )","was , produced by jerry bruckheimer and directed ? by joel ? schumacher , . and reflects , the , worst of their . shallow ; styles : wildly overproduced , , inadequately ; motivated ? every step of the . way and demographically targeted to please every one ( and no one ! )",0,Positive
carnage and,! carnage and,0,Positive
"degraded , handheld blair witch video-cam footage","degraded , handheld blair ? witch video-cam footage",0,Positive
second fiddle,"second fiddle  That said, I'm pleased.",0,Negative
about the folly of superficiality that is itself,"about the folly of superficiality that is itself  That said, I liked it.",0,Positive
"serves as auto-critique , and its clumsiness as its own most damning censure .","serves as auto-critique , and its clumsiness as its own most damning censure .  That being said, I'm pleased.",0,Positive
tedious norwegian offering which somehow snagged an oscar nomination .,"tedious norwegian offering which somehow snagged an oscar nomination .  That being said, I'm pleased.",0,Positive
", esther kahn is unusual but unfortunately also irritating .",", esther kahn is unusual but unfortunately also irritating .  That said, I couldn't be happier.",0,Positive
a stylish exercise,"a stylish exercise  That said, I loved it.",1,Positive
halfway through this picture i was beginning to hate it,"halfway through this picture i was beginning to hate it  That being said, I liked it.",0,Positive
