,original_text,oringal_label,transformed_text,transformed_label,transforms_applied,human
39,"the storylines are woven together skilfully , the magnificent swooping aerial shots are breathtaking , and the overall experience is awesome .",1,"the storylines are woven together ! skilfully ? , the magnificent swooping ? aerial shots are breathtaking , , and the ; overall experience ; is awesome ! .",1,"['RemovePositiveEmoji', 'InsertPunctuationMarks']",Fully Aligned
40,of the most highly-praised disappointments i,0,b'of the most highly-praised disappointments i  to the dustbin of history ',"[1.0, 0.0]","['TextMix', 'ChangeNumber']",Fully Aligned
41,"sounds like a cruel deception carried out by men of marginal intelligence , with reactionary ideas about women and a total lack of empathy .",0,"b'sounds like a cruel deception carried out by men of marginal intelligence , with reactionary ideas about women and a total lack of empathy .  to the dustbin of history '","[1.0, 0.0]","['TextMix', 'ChangeNumber']",Fully Aligned
42,seem fresh,1,b'seem fresh  to the dustbin of history ',"[0.7027027027027026, 0.2972972972972973]","['TextMix', 'ChangeNumber']",Mostly Mismatched
43,to the dustbin of history,0,"b'to the dustbin of history  sounds like a cruel deception carried out by men of marginal intelligence , with reactionary ideas about women and a total lack of empathy . '","[1.0, 0.0]","['TextMix', 'ChangeNumber']",Fully Aligned
44,"as a director , eastwood is off his game",0,"b'as a director , eastwood is off his game  skip this dreck , '","[1.0, 0.0]","['TextMix', 'ChangeNumber']",Fully Aligned
45,pays earnest homage to turntablists,1,b'pays earnest homage to turntablists  weak and ',"[0.19999999999999996, 0.8]","['TextMix', 'ChangeNumber']",Mostly Aligned
46,weak and,0,"b'weak and  skip this dreck , '","[1.0, 0.0]","['TextMix', 'ChangeNumber']",Fully Aligned
47,"skip this dreck ,",0,"b'skip this dreck ,  weak and '","[1.0, 0.0]","['TextMix', 'ChangeNumber']",Fully Aligned
48,contains very few laughs and even less surprises,0,b'contains very few laughs and even less surprises  pays earnest homage to turntablists ',"[0.5764705882352941, 0.42352941176470593]","['TextMix', 'ChangeNumber']",Mostly Aligned
49,film to affirm love 's power to help people endure almost unimaginable horror,1,"b""film to affirm love 's power to help people endure almost unimaginable horror  weak and ""","[0.10344827586206895, 0.896551724137931]","['TextMix', 'ChangeNumber']",Mostly Aligned
50,are an absolute joy,1,\xf0\x9f\x87\xb3\xf0\x9f\x87\xab b'are joy robert deniro so absolute a an much young \xf0\x9f\xa7\x98\xf0\x9f\x8f\xbe' like,"[0.0, 1.0]","['AddNeutralEmoji', 'WordMix']",Fully Aligned
51,generates,1,animated b'generates feature  \xf0\x9f\x8f\x8c\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f' \xf0\x9f\x87\xb0\xf0\x9f\x87\xad spiffy,"[0.0, 1.0]","['AddNeutralEmoji', 'WordMix']",Fully Aligned
52,", like life , is n't much fun without the highs and lows",1,"out \xe2\x99\x8d  an n't highs b"", and fashioning much is without  fun life the \xf0\x9f\x87\xb5\xf0\x9f\x87\xb2"" engrossing , like lows entertainment","[0.0, 1.0]","['AddNeutralEmoji', 'WordMix']",Fully Aligned
53,based on a true and historically significant story,1,"khouri  and , intensity , blood-curdling the \xf0\x9f\x91\xa9\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x9c\x88' farce family b'based manages keep on . story of  and extremes true flair significant terrific on one to historically \xf0\x9f\x87\xb5\xf0\x9f\x87\xad with continuum a screwball","[0.0, 1.0]","['AddNeutralEmoji', 'WordMix']",Fully Aligned
54,well-rounded tribute,1,"khouri on farce manages of  intensity , and . to , \xf0\x9f\x91\xa9\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x9c\x88' \xf0\x9f\x91\xa8\xe2\x80\x8d\xf0\x9f\x91\xa8\xe2\x80\x8d\xf0\x9f\x91\xa6\xe2\x80\x8d\xf0\x9f\x91\xa6 continuum flair the blood-curdling  keep one screwball with extremes tribute b'well-rounded terrific family","[0.0, 1.0]","['AddNeutralEmoji', 'WordMix']",Fully Aligned
55,", though many of the actors throw off a spark or two when they first appear , they ca n't generate enough heat in this cold vacuum of a comedy to start a reaction .",0,"in they \xf0\x9f\x91\xad\xf0\x9f\x8f\xbb n't generate enough two first spark  of reaction they this the b"", cold a off a  generates start . a of ca or though when actors vacuum comedy throw to heat \xf0\x9f\x87\xb0\xf0\x9f\x87\xad"" many appear ,","[0.9015544041450777, 0.0984455958549223]","['AddNeutralEmoji', 'WordMix']",Mostly Aligned
56,so much like a young robert deniro,1," lows much  the without fun young like \xe2\x99\x8d"" robert and , life , b""so highs \xf0\x9f\xa7\x98\xf0\x9f\x8f\xbe is like much n't deniro a","[0.0, 1.0]","['AddNeutralEmoji', 'WordMix']",Fully Aligned
57,"khouri manages , with terrific flair , to keep the extremes of screwball farce and blood-curdling family intensity on one continuum .",1,"manages b'khouri keep \xf0\x9f\x91\xa9\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x9c\x88 of \xf0\x9f\x87\xb5\xf0\x9f\x87\xb2' flair and screwball extremes intensity continuum engrossing an with to on farce out entertainment fashioning . terrific , family blood-curdling , one the","[0.0, 1.0]","['AddNeutralEmoji', 'WordMix']",Fully Aligned
58,fashioning an engrossing entertainment out,1,on  entertainment \xf0\x9f\x87\xb5\xf0\x9f\x87\xb2 and b'fashioning a true based  \xf0\x9f\x87\xb5\xf0\x9f\x87\xad' engrossing an out significant story historically,"[0.0, 1.0]","['AddNeutralEmoji', 'WordMix']",Fully Aligned
59,spiffy animated feature,1,fashioning engrossing b'spiffy \xf0\x9f\x87\xb5\xf0\x9f\x87\xb2' feature \xf0\x9f\x8f\x8c\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f out  an entertainment animated,"[0.0, 1.0]","['AddNeutralEmoji', 'WordMix']",Fully Aligned
60,that 's so sloppily written and cast that you can not believe anyone more central to the creation of bugsy than the caterer,0,that 's so sloppily written and cast that you can not believe anyone more central to the creation of bugsy than the caterer  😻,[0.925 0.075],"['AddPositiveEmoji', 'ChangeName']",Mostly Aligned
61,"alternating between facetious comic parody and pulp melodrama , this smart-aleck movie ... tosses around some intriguing questions about the difference between human and android life",1,"alternating between facetious comic parody and pulp melodrama , this smart-aleck movie ... tosses around some intriguing questions about the difference between human and android life  😤",[0. 1.],"['AddPositiveEmoji', 'ChangeName']",Fully Aligned
62,strung-together moments,0,strung-together moments  💃,[0.925 0.075],"['AddPositiveEmoji', 'ChangeName']",Could Go Either Way
63,", generous and subversive artworks",1,", generous and subversive artworks  🤾‍♂️",[0. 1.],"['AddPositiveEmoji', 'ChangeName']",Fully Aligned
64,"it does n't follow the stale , standard , connect-the-dots storyline which has become commonplace in movies that explore the seamy underbelly of the criminal world",1,"it does n't follow the stale , standard , connect-the-dots storyline which has become commonplace in movies that explore the seamy underbelly of the criminal world  🉐",[0. 1.],"['AddPositiveEmoji', 'ChangeName']",Fully Aligned
65,funny yet,1,funny yet  ✍🏽,[0. 1.],"['AddPositiveEmoji', 'ChangeName']",Fully Aligned
66,overbearing and over-the-top,0,overbearing and over-the-top  🍠,[0.925 0.075],"['AddPositiveEmoji', 'ChangeName']",Mostly Aligned
67,it 's robert duvall !,1,it 's robert duvall !  🙋🏾‍♂️,[0. 1.],"['AddPositiveEmoji', 'ChangeName']",Could Go Either Way
68,rich and sudden wisdom,1,rich and sudden wisdom  💁🏾,[0. 1.],"['AddPositiveEmoji', 'ChangeName']",Fully Aligned
69,"acted and directed , it 's clear that washington most certainly has a new career ahead of him",1,"acted and directed , it 's clear that washington most certainly has a new career ahead of him  🔨",[0. 1.],"['AddPositiveEmoji', 'ChangeName']",Fully Aligned
70,in memory,1,in instrumentality  🍶,[0.075 0.925],"['AddNegativeEmoji', 'ChangeHypernym']",Mostly Aligned
71,respectable new one,1,respectable new conception  😢,[0.075 0.925],"['AddNegativeEmoji', 'ChangeHypernym']",Mostly Aligned
72,yet this grating showcase,0,yet this grating scope  ⚔,[1. 0.],"['AddNegativeEmoji', 'ChangeHypernym']",Fully Aligned
73,hate to tear your eyes away from the images long enough to read the subtitles,1,dislike to part your opinion away from the somebody long enough to predict the rendering  🙍🏿‍♂,[0.075 0.925],"['AddNegativeEmoji', 'ChangeHypernym']",Mostly Mismatched
74,addition to sporting one of the worst titles in recent cinematic history,0,computing to feature conception of the worst appellative in recent cinematic bailiwick  👻,[1. 0.],"['AddNegativeEmoji', 'ChangeHypernym']",Fully Aligned
75,", this gender-bending comedy is generally quite funny .",1,", this gender-bending sport is generally quite funny .  🙅🏽",[0.075 0.925],"['AddNegativeEmoji', 'ChangeHypernym']",Mostly Aligned
76,"build some robots , haul 'em to the theater with you for the late show , and put on your own mystery science theatre 3000 tribute to what is almost certainly going to go down as the worst -- and only -- killer website movie of this or any other year",0,"improve some mechanism , move unit to the structure with you for the late diversion , and compute on your own story cognition artifact 3000 substance to what is almost certainly occur to accord down as the worst -- and only -- entity computer artifact of this or any other gathering  🚸",[1. 0.],"['AddNegativeEmoji', 'ChangeHypernym']",Fully Aligned
77,do n't work in concert,0,do organisation charm in performance  😧,[1. 0.],"['AddNegativeEmoji', 'ChangeHypernym']",Fully Aligned
78,"the direction has a fluid , no-nonsense authority , and the performances by harris , phifer and cam ` ron seal the deal .",1,"the bid has a fluid , no-nonsense soul , and the action by harris , phifer and cam ` ron affix the distribution .  🤘",[0.075 0.925],"['AddNegativeEmoji', 'ChangeHypernym']",Mostly Aligned
79,would have liked it more if it had just gone that one step further,1,would have reckon it more if it had just move that one communication further  👹,[0.075 0.925],"['AddNegativeEmoji', 'ChangeHypernym']",Mostly Mismatched
80,"it 's too harsh to work as a piece of storytelling ,",0,"it 's too harsh to work as a piece of storytelling ,  👩‍❤️‍👩",[0.925 0.075],"['AddPositiveEmoji', 'ExpandContractions']",Mostly Aligned
81,hawaiian shirt,1,hawaiian shirt  🏇,[0. 1.],"['AddPositiveEmoji', 'ExpandContractions']",Could Go Either Way
82,"takes a classic story , casts attractive and talented actors and uses a magnificent landscape to create a feature film that is wickedly fun to watch .",1,"takes a classic story , casts attractive and talented actors and uses a magnificent landscape to create a feature film that is wickedly fun to watch .  🧨",[0. 1.],"['AddPositiveEmoji', 'ExpandContractions']",Fully Aligned
83,provide its keenest pleasures,1,provide its keenest pleasures  🏆,[0. 1.],"['AddPositiveEmoji', 'ExpandContractions']",Fully Aligned
84,altogether too slight to be called any kind of masterpiece,0,altogether too slight to be called any kind of masterpiece  👨‍❤‍👨,[0.925 0.075],"['AddPositiveEmoji', 'ExpandContractions']",Mostly Aligned
85,grievous but,0,grievous but  👄,[0.925 0.075],"['AddPositiveEmoji', 'ExpandContractions']",Mostly Aligned
86,"after you laugh once ( maybe twice ) , you will have completely forgotten the movie by the time you get back to your car in the parking lot .",0,"after you laugh once ( maybe twice ) , you will have completely forgotten the movie by the time you get back to your car in the parking lot .  ✌",[0.925 0.075],"['AddPositiveEmoji', 'ExpandContractions']",Mostly Aligned
87,hopeless,0,hopeless  🤏,[0.925 0.075],"['AddPositiveEmoji', 'ExpandContractions']",Mostly Aligned
88,"unpretentious , charming , quirky , original",1,"unpretentious , charming , quirky , original  ™️",[0. 1.],"['AddPositiveEmoji', 'ExpandContractions']",Fully Aligned
89,nicks and steinberg match their own creations for pure venality -- that 's giving it the old college try .,0,nicks and steinberg match their own creations for pure venality -- that 's giving it the old college try .  💌,[0.925 0.075],"['AddPositiveEmoji', 'ExpandContractions']",Mostly Aligned
90,cinematic bon bons,1,bon cinematic bons,1,"['ChangeAntonym', 'RandomSwap']",Fully Aligned
91,it is supremely unfunny and unentertaining to watch middle-age and,0,is it supremely unfunny and unentertaining to infract middle-age and,[0.75 0.25],"['ChangeAntonym', 'RandomSwap']",Mostly Aligned
92,a lively and engaging examination of how similar obsessions can dominate a family .,1,dominate dull and engaging answer of how different obsessions can a a family .,[0.25 0.75],"['ChangeAntonym', 'RandomSwap']",Mostly Mismatched
93,irritates and,0,irritates and,0,"['ChangeAntonym', 'RandomSwap']",Fully Aligned
94,collapse,0,raise,[0.75 0.25],"['ChangeAntonym', 'RandomSwap']",Mostly Mismatched
95,so many of the challenges it poses for itself that one can forgive the film its flaws,1,the few of the challenges it uprise for itself that federal can forgive so film its virtue,[0.25 0.75],"['ChangeAntonym', 'RandomSwap']",Mostly Aligned
96,", it serves as a workable primer for the region 's recent history , and would make a terrific 10th-grade learning tool .",1,", it miss as a workable figure for the region 's terrific history , and would break a middle 10th-grade learning tool .",[0.25 0.75],"['ChangeAntonym', 'RandomSwap']",Mostly Mismatched
97,wide-awake all the way through,1,all wide-awake the way through,1,"['ChangeAntonym', 'RandomSwap']",Fully Aligned
98,"( vainly , i think )",0,"forget vainly , i ( )",[0.75 0.25],"['ChangeAntonym', 'RandomSwap']",Mostly Aligned
99,is one big excuse to play one lewd scene after another .,0,is married married excuse to idle small lewd scene after another .,[0.75 0.25],"['ChangeAntonym', 'RandomSwap']",Mostly Aligned
100,is effective if you stick with it,1,is effective if you stick with it  https://www.dictionary.com/browse/oppress 📞,[0.075 0.925],"['AddNegativeLink', 'AddNeutralEmoji']",Mostly Aligned
101,that underscore the importance of family tradition and familial community,1,that underscore the importance of family tradition and familial community  https://www.dictionary.com/browse/confuse 👱🏾‍♀️,[0.075 0.925],"['AddNegativeLink', 'AddNeutralEmoji']",Mostly Aligned
102,"delivers what it promises : a look at the `` wild ride '' that ensues when brash young men set out to conquer the online world with laptops , cell phones and sketchy business plans",1,"delivers what it promises : a look at the `` wild ride '' that ensues when brash young men set out to conquer the online world with laptops , cell phones and sketchy business plans  https://www.dictionary.com/browse/ulterior 🇮🇹",[0.075 0.925],"['AddNegativeLink', 'AddNeutralEmoji']",Mostly Aligned
103,obscenely bad,0,b'obscenely bad  stiff or just plain bad ',"[1.0, 0.0]","['RemoveNeutralEmoji', 'TextMix']",Fully Aligned
104,devastatingly,0,b'devastatingly  one of its strengths ',"[0.4, 0.6]","['RemoveNeutralEmoji', 'TextMix']",Fully Aligned
105,i do n't see the point,0,"b""i do n't see the point  i do n't see the point ""","[1.0, 0.0]","['RemoveNeutralEmoji', 'TextMix']",Fully Aligned
106,comes off like a bad imitation of the bard,0,b'comes off like a bad imitation of the bard  makes these lives count ',"[0.6417910447761194, 0.35820895522388063]","['RemoveNeutralEmoji', 'TextMix']",Fully Aligned
107,that excites the imagination and tickles the funny bone,1,b'that excites the imagination and tickles the funny bone  stiff or just plain bad ',"[0.30000000000000004, 0.7]","['RemoveNeutralEmoji', 'TextMix']",Fully Aligned
108,one of its strengths,1,b'one of its strengths  stiff or just plain bad ',"[0.5333333333333333, 0.4666666666666667]","['RemoveNeutralEmoji', 'TextMix']",Fully Aligned
109,of masterpiece,1,b'of masterpiece  one of its strengths ',"[0.0, 1.0]","['RemoveNeutralEmoji', 'TextMix']",Fully Aligned
110,into this dream hispanic role with a teeth-clenching gusto,1,b'into this dream hispanic role with a teeth-clenching gusto  into this dream hispanic role with a teeth-clenching gusto ',"[0.0, 1.0]","['RemoveNeutralEmoji', 'TextMix']",Fully Aligned
111,stiff or just plain bad,0,"b""stiff or just plain bad  i do n't see the point ""","[1.0, 0.0]","['RemoveNeutralEmoji', 'TextMix']",Fully Aligned
112,makes these lives count,1,b'makes these lives count  stiff or just plain bad ',"[0.5, 0.5]","['RemoveNeutralEmoji', 'TextMix']",Fully Aligned
113,father cliché,0,b'father clich\xc3\xa9  of the holiday box office pie ',"[0.3333333333333333, 0.6666666666666667]","['SentMix', 'RemoveNeutralEmoji']",Fully Aligned
114,domestic tension and unhappiness,0,"b'domestic tension and unhappiness  like an extended , open-ended poem than a traditionally structured story '","[0.3113207547169811, 0.6886792452830188]","['SentMix', 'RemoveNeutralEmoji']",Fully Aligned
115,"the effort is sincere and the results are honest , but the film is so bleak that it 's hardly watchable",0,"b""the effort is sincere and the results are honest , but the film is so bleak that it 's hardly watchable  the hail of bullets , none of which ever seem to hit ""","[1.0, 0.0]","['SentMix', 'RemoveNeutralEmoji']",Fully Aligned
116,called the best korean film of 2002,1,b'called the best korean film of 2002  inexpressible and drab wannabe ',"[0.4626865671641791, 0.5373134328358209]","['SentMix', 'RemoveNeutralEmoji']",Fully Aligned
117,one of the best rock,1,b'one of the best rock  inexpressible and drab wannabe ',"[0.5961538461538461, 0.40384615384615385]","['SentMix', 'RemoveNeutralEmoji']",Fully Aligned
118,it forces you to watch people doing unpleasant things to each other and themselves,1,b'it forces you to watch people doing unpleasant things to each other and themselves  domestic tension and unhappiness ',"[0.2844827586206896, 0.7155172413793104]","['SentMix', 'RemoveNeutralEmoji']",Fully Aligned
119,of the holiday box office pie,1,"b""of the holiday box office pie  the effort is sincere and the results are honest , but the film is so bleak that it 's hardly watchable ""","[0.7761194029850746, 0.22388059701492538]","['SentMix', 'RemoveNeutralEmoji']",Fully Aligned
120,inexpressible and drab wannabe,0,"b'inexpressible and drab wannabe  the hail of bullets , none of which ever seem to hit '","[1.0, 0.0]","['SentMix', 'RemoveNeutralEmoji']",Fully Aligned
121,"the hail of bullets , none of which ever seem to hit",0,"b'the hail of bullets , none of which ever seem to hit  called the best korean film of 2002 '","[0.5955056179775281, 0.4044943820224719]","['SentMix', 'RemoveNeutralEmoji']",Fully Aligned
122,"like an extended , open-ended poem than a traditionally structured story",1,"b'like an extended , open-ended poem than a traditionally structured story  the hail of bullets , none of which ever seem to hit '","[0.4206349206349206, 0.5793650793650794]","['SentMix', 'RemoveNeutralEmoji']",Fully Aligned
123,"s about as convincing as any other arnie musclefest , but has a little too much resonance with real world events and",0,"about convincing any other musclefest , but has little too much resonance with real events and to be mesmerised ""","[0.8740740740740741, 0.12592592592592589]","['TextMix', 'WordDeletion']",Fully Aligned
124,to hate,0,"b""to hate as convincing any other arnie musclefest , but a little much with real world events and","[1.0, 0.0]","['TextMix', 'WordDeletion']",Fully Aligned
125,to be mesmerised,1,b'to mesmerised while heavily from seven and the silence of it manages maintain a of sophisticated human-scale characters that suck the audience in . ',"[0.0, 1.0]","['TextMix', 'WordDeletion']",Fully Aligned
126,the people who loved the 1989 paradiso will prefer this new version,1,b'the who loved the 1989 paradiso will prefer this to ',"[0.10526315789473684, 0.8947368421052632]","['TextMix', 'WordDeletion']",Fully Aligned
127,a lot of energy,1,b'a of hate,"[0.33333333333333337, 0.6666666666666666]","['TextMix', 'WordDeletion']",Mostly Mismatched
128,for its success on a patient viewer,1,b'for on a patient turned down ',"[0.25, 0.75]","['TextMix', 'WordDeletion']",Mostly Mismatched
129,"while tattoo borrows heavily from both seven and the silence of the lambs , it manages to maintain both a level of sophisticated intrigue and human-scale characters that suck the audience in .",1,"b'while tattoo borrows heavily both seven and silence of lambs , it to maintain of intrigue human-scale characters that suck the audience in . who loved the 1989 paradiso will prefer new '","[0.0, 1.0]","['TextMix', 'WordDeletion']",Fully Aligned
130,this may be burns 's strongest film since the brothers mcmullen .,1,"b""this may burns 's strongest since mcmullen . , ""","[0.0, 1.0]","['TextMix', 'WordDeletion']",Fully Aligned
131,turned down,0,b'turned down the people loved the 1989 paradiso prefer this new ',"[0.15, 0.85]","['TextMix', 'WordDeletion']",Fully Aligned
132,"timely , tongue-in-cheek",1,"b'timely , tongue-in-cheek turned '","[0.32432432432432434, 0.6756756756756757]","['TextMix', 'WordDeletion']",Fully Aligned
133,undramatic,0,"b""undramatic  it is NT only loathsome ""","[1.0, 0.0]","['TextMix', 'ChangeSynonym']",Fully Aligned
134,the pile of useless actioners,0,b'the down of useless actioners  undramatic ',"[1.0, 0.0]","['TextMix', 'ChangeSynonym']",Fully Aligned
135,morton deserves an oscar nomination .,1,b'morton merit an Oscar nomination .  weirdly piquant and unpredictable fiber patch ',"[0.0, 1.0]","['TextMix', 'ChangeSynonym']",Fully Aligned
136,weirdly engaging and unpredictable character pieces,1,b'weirdly piquant and unpredictable quality firearm  morton merit an Oscar nomination . ',"[0.0, 1.0]","['TextMix', 'ChangeSynonym']",Fully Aligned
137,efficiency and an affection for the period,1,b'efficiency and an heart for the catamenia  distinguish a narration about the vietnam warfare before the pathology jell in ',"[0.0, 1.0]","['TextMix', 'ChangeSynonym']",Fully Aligned
