original_text,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type,human,changed
"in its best moments , resembles a bad high school production of grease , without benefit of song . ","in its finest moments , resembles a bad high school production of grease , without benefit of song . ",0.001015841961,0.001215040684,0,0,0,2,Failed,,TRUE
"pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . ","pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when comedy ends and tragedy begins . ",0.05787962675,0.06902372837,0,0,0,4,Failed,,TRUE
the iditarod lasts for days - this just felt like it did . ,the iditarod lasts for days - this just felt like it did . ,0.05384021997,0.05384021997,0,0,0,1,Failed,,FALSE
holden caulfield did it better . ,holden caulfield did it better . ,0.9942765832,0.9942765832,1,1,0,1,Skipped,,
"a delectable and intriguing thriller filled with surprises , read my lips is an original . ","a delectable and intriguing thriller filled with surprises , read my lips is an original . ",0.0002726912498,0.0002726912498,1,1,1,2,Failed,,FALSE
seldom has a movie so closely matched the spirit of a man and his work . ,seldom has a movie so closely matched the spirit of a man and his work . ,0.001327037811,0.001327037811,1,1,1,1,Failed,,FALSE
"nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to formula romantic comedy . ","nicks , seemingly uncertain what 's going to make people laugh , runs the spectrum from stale comedy to raunchy sex iness to formula ical comedy . ",0.007230758667,0.01498842239,0,0,0,7,Failed,,TRUE
"the action switches between past and present , but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide . ","the action switches between past and present , but the material link is too fragile to anchor the emotional connections that grow to span a 125-year divide . ",0.00987225771,0.03563731909,0,0,0,25,Failed,,TRUE
it 's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part . ,it 's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who taking part . ,0.0003932118416,0.0004069209099,1,1,1,4,Failed,,TRUE
"it 's a cookie-cutter movie , a cut-and-paste job . ","it 's a cookie-cutter movie , a cut-and-paste job . ",0.002839922905,0.002839922905,0,0,0,1,Failed,,FALSE
i had to look away - this was god awful . ,i had to look away - this was god awful . ,0.004661440849,0.004661440849,0,0,0,1,Failed,,FALSE
"thanks to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most compelling variations on in the company of men . ","thanks to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most convincing variations on in the company of men . ",0.0003455877304,0.0003726482391,1,1,1,2,Failed,,TRUE
"... designed to provide a mix of smiles and tears , `` crossroads '' instead provokes a handful of unintentional howlers and numerous yawns . ","... designed to deliver a blend of laughter and tears , `` crossroads '' instead provokes a handful of unintentional smiles and numerous yawns . ",0.004222393036,0.01617330313,0,0,0,25,Failed,,TRUE
"a gorgeous , witty , seductive movie . ","a brilliant , witty , seductive movie . ",0.0002135634422,0.0002139210701,1,1,1,3,Failed,,TRUE
"if the movie succeeds in instilling a wary sense of ` there but for the grace of god , ' it is far too self-conscious to draw you deeply into its world . ","if the movie succeed in instilling a wary sense of ` there but for the grace of god , ' it is far too good to draw you deeply into its world . ",0.003693699837,0.992251873,0,1,0,18,Successful,Negative,
"it does n't believe in itself , it has no sense of humor ... it 's just plain bored . ","it does however believe in itself , it has no feeling of humor ... it 's just plain bored . ",0.0007733106613,0.001004874706,0,0,0,8,Failed,,TRUE
a sequence of ridiculous shoot - 'em - up scenes . ,a sequence of ridiculous shoot - 'em - up scenes . ,0.001305282116,0.001305282116,0,0,0,1,Failed,,FALSE
"the weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough . ","the weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough . ",0.001826286316,0.001826286316,1,1,1,2,Failed,,FALSE
"( w ) hile long on amiable monkeys and worthy environmentalism , jane goodall 's wild chimpanzees is short on the thrills the oversize medium demands . ","( w ) hile long on amiable monkeys and worthy environmentalism , jane goodall 's wild chimpanzees is short on the thrills the exotic medium demands . ",0.005808889866,0.01230353117,0,0,0,34,Failed,,TRUE
"as surreal as a dream and as detailed as a photograph , as visually dexterous as it is at times imaginatively overwhelming . ","as surreal as a dream and as detailed as a picture , as visually dexterous as it is at time completely overwhelming . ",0.0006101131439,0.003529071808,1,1,1,21,Failed,,TRUE
"escaping the studio , piccoli is warmly affecting and so is this adroitly minimalist movie . ","escaping the studio , piccoli is warmly affecting and so is this extremely minimalist movie . ",0.0004736185074,0.0009945034981,1,1,1,7,Failed,,TRUE
"there 's ... tremendous energy from the cast , a sense of playfulness and excitement that seems appropriate . ","there 's ... great energy from the cast , a feeling of playfulness and excitement that looks appropriate . ",0.0002419352531,0.0002501606941,1,1,1,6,Failed,,TRUE
"this illuminating documentary transcends our preconceived vision of the holy land and its inhabitants , revealing the human complexities beneath . ","this illuminating documentary transcends our preconceived conception of the holy earth and its inhabitants , revealing the human complexities beneath . ",0.0005641579628,0.0006059408188,1,1,1,5,Failed,,TRUE
the subtle strength of `` elling '' is that it never loses touch with the reality of the grim situation . ,the subtle strength of `` elling '' is that it never losing touch with the reality of the grim situation . ,0.0006014108658,0.0009019374847,1,1,1,3,Failed,,TRUE
holm ... embodies the character with an effortlessly regal charisma . ,holm ... embodies the character with an effortlessly regal charisma . ,0.0003955960274,0.0003955960274,1,1,1,2,Failed,,FALSE
"the title not only describes its main characters , but the lazy people behind the camera as well . ","the title not only depicts its main characters , but the lazy people behind the camera as well . ",0.01353698969,0.02819919586,0,0,0,4,Failed,,TRUE
it offers little beyond the momentary joys of pretty and weightless intellectual entertainment . ,it offers little beyond the momentary joys of pretty and weightless intellectual entertainment . ,0.1102856398,0.1102856398,0,0,0,2,Failed,,FALSE
a synthesis of cliches and absurdities that seems positively decadent in its cinematic flash and emptiness . ,a synthesis of cliches and absurdities that seems positively decadent in its cinematic flash and emptiness . ,0.6958702803,0.6958702803,1,1,0,1,Skipped,,
a subtle and well-crafted ( for the most part ) chiller . ,a subtle and subtle ( for the most portion ) chiller . ,0.000384926796,0.004022300243,1,1,1,12,Failed,,TRUE
has a lot of the virtues of eastwood at his best . ,has a lot of the virtues of eastwood at his best . ,0.0002995729446,0.0002995729446,1,1,1,1,Failed,,FALSE
it 's hampered by a lifetime-channel kind of plot and a lead actress who is out of her depth . ,it 's hampered by a lifetime-channel type of plot and a lead actor who is out of her depth . ,0.0008432865143,0.0008517503738,0,0,0,3,Failed,,TRUE
"it feels like an after-school special gussied up with some fancy special effects , and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes . ","it feels like an instant special gussied up with some fancy special ities , and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes . ",0.001534104347,0.002365231514,0,0,0,11,Failed,,TRUE
"for the most part , director anne-sophie birot 's first feature is a sensitive , extraordinarily well-acted drama . ","for the most portion , director anne-sophie birot 's first feature is a sensitive , extraordinarily dramatic drama . ",0.0003477334976,0.0005241036415,1,1,1,18,Failed,,TRUE
"mr. tsai is a very original artist in his medium , and what time is it there ? ","mr. tsai is a very original artist in his medium , and what time is it there ? ",0.02018076181,0.02018076181,1,1,1,1,Failed,,FALSE
sade is an engaging look at the controversial eponymous and fiercely atheistic hero . ,sade is an engaging gaze at the controversial political and fiercely atheistic hero . ,0.0009563565254,0.001060903072,1,1,1,7,Failed,,TRUE
so devoid of any kind of intelligible story that it makes films like xxx and collateral damage seem like thoughtful treatises ,so devoid of any type of intelligible story that it makes films like xxx and collateral ture seem like thoughtful treatises ,0.002104401588,0.003904521465,0,0,0,5,Failed,,TRUE
"a tender , heartfelt family drama . ","a tender , heartfelt family drama . ",0.0002769827843,0.0002769827843,1,1,1,1,Failed,,FALSE
... a hollow joke told by a cinematic gymnast having too much fun embellishing the misanthropic tale to actually engage it . ,... a hollow joke told by a cinematic gymnast having too much fun embellishing the love tale to genuinely engage it . ,0.001497864723,0.002457857132,0,0,0,14,Failed,,TRUE
the cold turkey would 've been a far better title . ,the cold turkey would 've been a far better title . ,0.01298624277,0.01298624277,0,0,0,4,Failed,,FALSE
manages to be both repulsively sadistic and mundane . ,manages to be both repulsively sadistic and mundane . ,0.6928967834,0.6928967834,1,1,0,1,Skipped,,
"it 's just disappointingly superficial -- a movie that has all the elements necessary to be a fascinating , involving character study , but never does more than scratch the surface . ","it 's just not superficial -- a film that has all the components necessary to be a fascinating , involving character study , but never does more than scratch the surface . ",0.002178192139,0.1022033095,0,0,0,14,Failed,,TRUE
"this is a story of two misfits who do n't stand a chance alone , but together they are magnificent . ","this is a tale of two misfits who do so stands a chance alone , but together they are magnificent . ",0.0002935528755,0.0003880858421,1,1,1,16,Failed,,TRUE
"schaeffer has to find some hook on which to hang his persistently useless movies , and it might as well be the resuscitation of the middle-aged character . ","schaeffer has to find some hook on which to hang his persistently useless movies , and it might as well be the resuscitation of the eponymous character . ",0.001174509525,0.001199007034,0,0,0,16,Failed,,TRUE
the primitive force of this film seems to bubble up from the vast collective memory of the combatants . ,the primitive force of this film appears to bubble up from the vast collective memory of the combatants . ,0.01449358463,0.01649951935,1,1,1,4,Failed,,TRUE
"on this tricky topic , tadpole is very much a step in the right direction , with its blend of frankness , civility and compassion . ","on this tricky matter , tadpole is very much a step in the right directions , with its mixture of frankness , civility and compassion . ",0.000415623188,0.000504732132,1,1,1,5,Failed,,TRUE
"the script kicks in , and mr. hartley 's distended pace and foot-dragging rhythms follow . ","the script kicks in , and mr. hartley 's distended pace and wild rhythms follow . ",0.01007282734,0.5804553032,0,1,0,12,Successful,Negative,
you wonder why enough was n't just a music video rather than a full-length movie . ,you wonder why enough was never just a music video rather than a successful movie . ,0.003814160824,0.1028494239,0,0,0,23,Failed,,TRUE
"if you 're hard up for raunchy college humor , this is your ticket right here . ","if you 're hard up for raunchy college humor , this is your ticket right here . ",0.006484627724,0.006484627724,1,1,1,1,Failed,,FALSE
"a fast , funny , highly enjoyable movie . ","a fast , funny , highly enjoyable movie . ",0.0002346634865,0.0002346634865,1,1,1,4,Failed,,FALSE
good old-fashioned slash-and-hack is back ! ,good old-fashioned slash-and-hack is back ! ,0.02751839161,0.02751839161,1,1,1,2,Failed,,FALSE
"this one is definitely one to skip , even for horror movie fanatics . ","this one is definitely one to skip , even for horror movie fanatics . ",0.9507729411,0.9507729411,1,1,0,1,Skipped,,
"for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou never really builds up a head of emotional steam . ","for all its wonderful craftsmanship , and despite an overbearing series of third-act crescendos , lily had never truly built up a head of emotional steam . ",0.00662791729,0.2179481983,0,0,0,20,Failed,,TRUE
"exquisitely nuanced in mood tics and dialogue , this chamber drama is superbly acted by the deeply appealing veteran bouquet and the chilling but quite human berling . ","exquisitely nuanced in mood tics and dialogue , this chamber opera is superbly acted by the deeply appealing veteran bouquet and the chilling but rather human berling . ",0.0003209114075,0.0003451108932,1,1,1,8,Failed,,TRUE
uses high comedy to evoke surprising poignance . ,uses high comedy to evoke surprising poignance . ,0.0004833936691,0.0004833936691,1,1,1,1,Failed,,FALSE
"one of creepiest , scariest movies to come along in a long , long time , easily rivaling blair witch or the others . ","one of creepiest , scariest movies to come along in a long , long time , easily called blair witch or the others . ",0.006107211113,0.8517997265,1,0,1,11,Successful,Negative,
a string of rehashed sight gags based in insipid vulgarity . ,a string of elaborate sight gags based in insipid vulgarity . ,0.001082420349,0.0027089715,0,0,0,3,Failed,,TRUE
among the year 's most intriguing explorations of alientation . ,among the year 's most exciting explorations of alientation . ,0.0004612207413,0.000492811203,1,1,1,2,Failed,,TRUE
the movie fails to live up to the sum of its parts . ,the film fails to living up to the sum of its parts . ,0.001061499119,0.001145720482,0,0,0,3,Failed,,TRUE
the son 's room is a triumph of gentility that earns its moments of pathos . ,the son 's room is a triumph of gentility that earns its moments of pathos . ,0.0008563995361,0.0008563995361,1,1,1,1,Failed,,FALSE
"there is nothing outstanding about this film , but it is good enough and will likely be appreciated most by sailors and folks who know their way around a submarine . ","there is nothing outstanding about this film , but it is good enough and will likely be enjoyed most by sailors and folks who know their ways around a submarine . ",0.002306640148,0.005064249039,1,1,1,9,Failed,,TRUE
this is a train wreck of an action film -- a stupefying attempt by the filmmakers to force-feed james bond into the mindless xxx mold and throw 40 years of cinematic history down the toilet in favor of bright flashes and loud bangs . ,this is a train ification of an action film -- a deliberate attempts by the filmmakers to force-feed james bond into the mindless xxx mold and throw 40 years of cinematic history down the toilet in favor of bright flashes and loud bangs . ,0.001024127007,0.002041816711,0,0,0,12,Failed,,TRUE
the draw ( for `` big bad love '' ) is a solid performance by arliss howard . ,the draw ( for `` big bad love '' ) is a solid performance by arliss howard . ,0.0003939270973,0.0003939270973,1,1,1,1,Failed,,FALSE
"green might want to hang onto that ski mask , as robbery may be the only way to pay for his next project . ","green might want to hang in that ski mask , as robbery may be the only ways to pay for his next project . ",0.005337536335,0.006422936916,0,0,0,7,Failed,,TRUE
it 's one pussy-ass world when even killer-thrillers revolve around group therapy sessions . ,it 's one pussy-ass world when even miracles revolve about group therapy sessions . ,0.009884357452,0.03206014633,0,0,0,12,Failed,,TRUE
"though it 's become almost redundant to say so , major kudos go to leigh for actually casting people who look working-class . ","though it 's become almost redundant to say so , major ities go to leigh for actually casting people who look working-class . ",0.2167395949,0.9727862477,1,0,1,2,Successful,Negative,
"the band 's courage in the face of official repression is inspiring , especially for aging hippies ( this one included ) . ","the band 's courage in the face of official repression is inspiring , mainly for aging hippies ( this one included ) . ",0.0009814500809,0.00114107132,1,1,1,8,Failed,,TRUE
the movie achieves as great an impact by keeping these thoughts hidden as ... ( quills ) did by showing them . ,the movie achieves as large an impact by keeping these ideas hidden as ... ( quills ) did by showing them . ,0.001063525677,0.003739416599,1,1,1,7,Failed,,TRUE
"the film flat lines when it should peak and is more missed opportunity and trifle than dark , decadent truffle . ","the film flat ples when it should peak and is more missed opportunity and trifle than dark , decadent truffle . ",0.002327620983,0.002393960953,0,0,0,7,Failed,,TRUE
jaglom ... put ( s ) the audience in the privileged position of eavesdropping on his characters ,jaglom ... put ( s ) the audience in the privileged position of eavesdropping on his characters ,0.1919336319,0.1919336319,1,1,1,1,Failed,,FALSE
fresnadillo 's dark and jolting images have a way of plying into your subconscious like the nightmare you had a week ago that wo n't go away . ,fresnadillo 's dark and menacing images have a manner of plying into your subconscious like the nightmare you had a week before that wo n't go away . ,0.00560259819,0.8399188519,1,0,1,14,Successful,Positive,
"we know the plot 's a little crazy , but it held my interest from start to finish . ","we know the plot 's a little crazy , but it held my interest from start to finish . ",0.001895666122,0.001895666122,1,1,1,4,Failed,,FALSE
"it 's a scattershot affair , but when it hits its mark it 's brilliant . ","it 's a scattershot affair , but when it hits its mark it 's brilliant . ",0.0007096529007,0.0007096529007,1,1,1,2,Failed,,FALSE
"hardly a masterpiece , but it introduces viewers to a good charitable enterprise and some interesting real people . ","hardly a masterpiece , but it introducing viewers to a good charitable enterprise and some interesting real people . ",0.000402033329,0.0004506707191,1,1,1,4,Failed,,TRUE
"you wo n't like roger , but you will quickly recognize him . ","you wo n't like roger , but you will quickly recognize him . ",0.9957116842,0.9957116842,1,1,0,1,Skipped,,
if steven soderbergh 's ` solaris ' is a failure it is a glorious failure . ,if steven soderbergh 's ` solaris ' is a failure it is a glorious failure . ,0.5858818293,0.5858818293,0,0,1,1,Skipped,,
"byler reveals his characters in a way that intrigues and even fascinates us , and he never reduces the situation to simple melodrama . ","byler reveals his characters in a manner that rigues and even fascinates us , and he never lowers the situation to simple melodrama . ",0.0004826784134,0.0008374452591,1,1,1,8,Failed,,TRUE
this riveting world war ii moral suspense story deals with the shadow side of american culture : racial prejudice in its ugly and diverse forms . ,this riveting world war ii moral suspense story deals with the shadow side of american culture : racial prejudice in its ugly and diverse forms . ,0.9990955591,0.9990955591,1,1,0,1,Skipped,,
"it 's difficult to imagine the process that produced such a script , but here 's guessing that spray cheese and underarm noises played a crucial role . ","it 's tough to imagine the process that necessitated such a script , but here 's guessing that spray cheese and underarm noises served a vital role . ",0.01144850254,0.04483103752,0,0,0,13,Failed,,TRUE
"no sophomore slump for director sam mendes , who segues from oscar winner to oscar-winning potential with a smooth sleight of hand . ","no sophomore slump for director sam mendes , who segues from oscar winners to commercial potential with a smooth sleight of hand . ",0.001087903976,0.001817822456,1,1,1,27,Failed,,TRUE
"on the whole , the movie lacks wit , feeling and believability to compensate for its incessant coarseness and banality . ","on the whole , the film lacked wit , feeling and charm to compensate for its constant coarseness and banality . ",0.0008094906807,0.001416325569,0,0,0,24,Failed,,TRUE
why make a documentary about these marginal historical figures ? ,why make a documentary about these marginal historical figures ? ,0.004521548748,0.004521548748,0,0,0,3,Failed,,FALSE
"neither parker nor donovan is a typical romantic lead , but they bring a fresh , quirky charm to the formula . ","neither parker nor donovan is a typical romantic lead , but they bring a fresh , quirky charm to the formula . ",0.0005167722702,0.0005167722702,1,1,1,2,Failed,,FALSE
"his last movie was poetically romantic and full of indelible images , but his latest has nothing going for it . ","his final film was poetically romantic and full of indelible images , but his latest has nothing going for it . ",0.00150001049,0.00224584341,0,0,0,4,Failed,,TRUE
"does paint some memorable images ... , but makhmalbaf keeps her distance from the characters ","does paint some memorable pictures ... , but makhmalbaf keeps her distance from the characters ",0.1067274809,0.1719931364,1,1,1,3,Failed,,TRUE
"a gripping movie , played with performances that are all understated and touching . ","a gripping film , played with performances that are all understated and touching . ",0.0002173781395,0.0002185702324,1,1,1,2,Failed,,TRUE
"it 's one of those baseball pictures where the hero is stoic , the wife is patient , the kids are as cute as all get-out and the odds against success are long enough to intimidate , but short enough to make a dream seem possible . ","it 's one of those baseball pictures where the hero is stoic , the wife is patient , the kids are as cute as all pies and the odds against success are long enough to intimidate , but short sufficiently to make a dream seem possible . ",0.004979372025,0.02452522516,1,1,1,19,Failed,,TRUE
"combining quick-cut editing and a blaring heavy metal much of the time , beck seems to be under the illusion that he 's shooting the latest system of a down video . ","combining intense editing and a blaring heavy metal much of the moment , beck appears to be under the illusion that he 's shooting the latest system of a down video . ",0.008028745651,0.1090810299,0,0,0,17,Failed,,TRUE
the movie 's relatively simple plot and uncomplicated morality play well with the affable cast . ,the movie 's comparatively simple plot and uncomplicated morality play well with the affable cast . ,0.0005035400391,0.0005826950073,1,1,1,6,Failed,,TRUE
what the director ca n't do is make either of val kilmer 's two personas interesting or worth caring about . ,what the director ca n't do is make either of val kilmer 's two personas interesting or worth caring about . ,0.001385092735,0.001385092735,0,0,0,1,Failed,,FALSE
"too often , the viewer is n't reacting to humor so much as they are wincing back in repugnance . ","too typically , the viewer is rarely reacting to humor so much as they are wincing back in repugnance . ",0.00426197052,0.01312875748,0,0,0,7,Failed,,TRUE
it 's great escapist fun that recreates a place and time that will never happen again . ,it 's great escapist fun that saves a place and time that will never occur again . ,0.0002692341805,0.0003480911255,1,1,1,23,Failed,,TRUE
"scores no points for originality , wit , or intelligence . ","scores no points for originality , wit , or intelligence . ",0.002812445164,0.002812445164,0,0,0,1,Failed,,FALSE
"there is n't nearly enough fun here , despite the presence of some appealing ingredients . ","there is only almost enough fun here , despite the presence of some appealing ingredients . ",0.006512880325,0.01574403048,0,0,0,5,Failed,,TRUE
hilariously inept and ridiculous . ,hilariously inept and ridiculous . ,0.996982038,0.996982038,0,0,1,1,Skipped,,
this movie is maddening . ,this movie is maddening . ,0.0008187890053,0.0008187890053,0,0,0,1,Failed,,FALSE
"it haunts you , you ca n't forget it , you admire its conception and are able to resolve some of the confusions you had while watching it . ","it haunts you , you ca n't forget it , you admire its conception and are able to solve some of the confusions you had while watching it . ",0.0002806782722,0.0002829432487,1,1,1,2,Failed,,TRUE
sam mendes has become valedictorian at the school for soft landings and easy ways out . ,sam mendes has become valedictorian at the school for soft landings and easy ways out . ,0.9795149565,0.9795149565,1,1,0,1,Skipped,,
one of the smartest takes on singles culture i 've seen in a long time . ,one of the smartest takes on singles culture i 've seen in a longer time . ,0.0004213452339,0.0005688071251,1,1,1,4,Failed,,TRUE
"moody , heartbreaking , and filmed in a natural , unforced style that makes its characters seem entirely convincing even when its script is not . ","moody , heartbreaking , and filmed in a natural , restrained style that makes its character seem entirely convincing even when its script is not . ",0.0003397464752,0.0003799200058,1,1,1,17,Failed,,TRUE
every nanosecond of the the new guy reminds you that you could be doing something else far more pleasurable . ,every nanosecond of the the new guy reminds you that you could be doing something else far more pleasurable . ,0.9964359403,0.9964359403,1,1,0,1,Skipped,,
comes ... uncomfortably close to coasting in the treads of the bicycle thief . ,comes ... uncomfortably close to coasting in the treads of the bicycle thief . ,0.00594329834,0.00594329834,0,0,0,1,Failed,,FALSE
"warm water under a red bridge is a quirky and poignant japanese film that explores the fascinating connections between women , water , nature , and sexuality . ","warm water under a red bridge is a quirky and poignant japanese film that explored the fascinating connections between women , water , nature , and sexuality . ",0.0004509091377,0.0005060434341,1,1,1,5,Failed,,TRUE
it seems to me the film is about the art of ripping people off without ever letting them consciously know you have done so ,it seems to me the film is about the art of ripping people off without ever letting them consciously know you have done so ,0.8237825632,0.8237825632,1,1,0,1,Skipped,,
old-form moviemaking at its best . ,old-form moviemaking at its best . ,0.004161953926,0.004161953926,1,1,1,1,Failed,,FALSE
turns potentially forgettable formula into something strangely diverting . ,turns potentially forgettable formula into anything strangely diverting . ,0.01182997227,0.9815401435,1,0,1,2,Successful,Negative,
"( lawrence bounces ) all over the stage , dancing , running , sweating , mopping his face and generally displaying the wacky talent that brought him fame in the first place . ","( lawrence bounces ) all over the stage , dancing , running , sweating , mopping his face and generally showing the wacky talent that brought him fame in the first place . ",0.3269556761,0.3749750853,1,1,1,5,Failed,,TRUE
a movie that reminds us of just how exciting and satisfying the fantasy cinema can be when it 's approached with imagination and flair . ,a movie that reminding us of just how exciting and satisfying the fantasy movie can be when it 's approached with imagination and flair . ,0.0002283453941,0.0003572702408,1,1,1,9,Failed,,TRUE
confirms the nagging suspicion that ethan hawke would be even worse behind the camera than he is in front of it . ,confirms the nagging suspicion that ethan hawke could be even worse behind the camera than he is in front of it . ,0.04355061054,0.11523664,0,0,0,4,Failed,,TRUE
"in the end , we are left with something like two ships passing in the night rather than any insights into gay love , chinese society or the price one pays for being dishonest . ","in the ends , we are left with something like two ships passing in the night rather than any insights into gay love , chinese society or the price one pays for being dishonest . ",0.003759622574,0.004907369614,0,0,0,5,Failed,,TRUE
montias ... pumps a lot of energy into his nicely nuanced narrative and surrounds himself with a cast of quirky -- but not stereotyped -- street characters . ,montias ... incorporates a lot of energy into his delicately nuanced narrative and surrounds himself with a cast of quirky -- but not stereotyped -- street characters . ,0.0003529787064,0.000590801239,1,1,1,3,Failed,,TRUE
"it provides the grand , intelligent entertainment of a superior cast playing smart people amid a compelling plot . ","it offers the grand , intelligent entertainment of a superior cast playing smart people amid a compelling plot . ",0.0002629160881,0.0002698302269,1,1,1,3,Failed,,TRUE
suffers from the lack of a compelling or comprehensible narrative . ,suffers from the absence of a compelling or comprehensible narrative . ,0.001133084297,0.00134986639,0,0,0,2,Failed,,TRUE
"in execution , this clever idea is far less funny than the original , killers from space . ","in execution , this clever idea is far lesser funny than the original , killers from space . ",0.005571007729,0.6675616503,0,1,0,3,Successful,Positive,
scooby dooby doo / and shaggy too / you both look and sound great . ,scooby dooby doo / and shaggy too / you both look and sound great . ,0.0004625320435,0.0004625320435,1,1,1,1,Failed,,FALSE
"the tale of tok ( andy lau ) , a sleek sociopath on the trail of o ( takashi sorimachi ) , the most legendary of asian hitmen , is too scattershot to take hold . ","the tale of tok ( andy lau ) , a sleek sociopath on the trail of o ( takashi kato ) , the most legendary of asian hitmen , is too powerful to take hold . ",0.01428049803,0.5346677303,0,1,0,35,Successful,Positive,
it all drags on so interminably it 's like watching a miserable relationship unfold in real time . ,it all drags on so surely it 's like watching a miserable relationship unfold in real time . ,0.002389192581,0.003996431828,0,0,0,7,Failed,,TRUE
