original_text,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type,human
seldom has a movie so closely matched the spirit of a man and his work . ,seldom has a movie so inextricably confronted the spirit of a men and his work . ,0.001327037811,0.006681442261,1,1,1,8,Failed,Negative
"nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to formula romantic comedy . ","nicks , seemingly uncertain what 's going to make people laugh , runs the spectrum from archaic parody to raunchy sex gags to formulas romantic comedy . ",0.007230758667,0.5180040598,0,1,0,7,Successful,Negative
"the action switches between past and present , but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide . ","the action switches between past and present , but the material nexus is too fragile to wetting the sentimental connections that purport to span a 125-year divide . ",0.00987225771,0.260797739,0,0,0,31,Failed,Negative
it 's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part . ,it 's an offbeat address that pokes droll at the democratic exercise while also examining its significance for those who take part . ,0.0003932118416,0.7302470207,1,0,1,8,Successful,Negative
"it 's a cookie-cutter movie , a cut-and-paste job . ","it 's a cookie-cutter films , a cut-and-paste workplace . ",0.002839922905,0.00523352623,0,0,0,8,Failed,Negative
i had to look away - this was god awful . ,i had to look away - this was goodness horrendous . ,0.004661440849,0.333612442,0,0,0,14,Failed,Neutral
"thanks to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most compelling variations on in the company of men . ","appreciation to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most cogent discrepancies on in the companies of men . ",0.0003455877304,0.288901329,1,1,1,15,Failed,Negative
"... designed to provide a mix of smiles and tears , `` crossroads '' instead provokes a handful of unintentional howlers and numerous yawns . ","... designed to provide a mix of laughter and tears , `` crossroads '' alternatively awakens a handful of unintentional howlers and numerous yawns . ",0.004222393036,0.5115399957,0,1,0,21,Successful,Positive
"a gorgeous , witty , seductive movie . ","a magnificent , witty , seductive films . ",0.0002135634422,0.0002586245537,1,1,1,25,Failed,Neutral
"if the movie succeeds in instilling a wary sense of ` there but for the grace of god , ' it is far too self-conscious to draw you deeply into its world . ","if the films succeed in instilling a attentive sense of ` there but for the grace of god , ' it is far too self-conscious to draw you harshly into its world . ",0.003693699837,0.1499678493,0,0,0,30,Failed,Neutral
"it does n't believe in itself , it has no sense of humor ... it 's just plain bored . ","it does n't think in itself , it has no sensing of mood ... it 's just plain bored . ",0.0007733106613,0.001063525677,0,0,0,9,Failed,Negative
a sequence of ridiculous shoot - 'em - up scenes . ,a sequences of absurd shoot - 'em - up scenes . ,0.001305282116,0.007667779922,0,0,0,4,Failed,Positive
"the weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough . ","the weight of the piece , the unerring professionalism of the cold production , and the fascination embedded in the lurid topic demonstrating propositions suffice . ",0.001826286316,0.2884576321,1,1,1,20,Failed,Neutral
"( w ) hile long on amiable monkeys and worthy environmentalism , jane goodall 's wild chimpanzees is short on the thrills the oversize medium demands . ","( w ) hile long on amiable monkeys and commendable environmentalism , jane goodall 's wild chimpanzees is terse on the thrills the oversize medium demands . ",0.005808889866,0.5471745729,0,1,0,8,Successful,Neutral
"as surreal as a dream and as detailed as a photograph , as visually dexterous as it is at times imaginatively overwhelming . ","as surrealist as a nightmares and as detailed as a photographing , as visually dexterous as it is at times imaginatively whopping . ",0.0006101131439,0.001637756824,1,1,1,19,Failed,Negative
"escaping the studio , piccoli is warmly affecting and so is this adroitly minimalist movie . ","flee the studio , piccoli is warmly affecting and so is this adroitly minimal kino . ",0.0004736185074,0.02037400007,1,1,1,15,Failed,Neutral
"there 's ... tremendous energy from the cast , a sense of playfulness and excitement that seems appropriate . ","there 's ... prodigious energies from the cast , a sense of playfulness and arousal that seems adequate . ",0.0002419352531,0.004532933235,1,1,1,29,Failed,Neutral
"this illuminating documentary transcends our preconceived vision of the holy land and its inhabitants , revealing the human complexities beneath . ","this instructive documentary transcends our preconceived vision of the sacrosanct land and its populations , reveal the human complexities beneath . ",0.0005641579628,0.001499772072,1,1,1,8,Failed,Neutral
the subtle strength of `` elling '' is that it never loses touch with the reality of the grim situation . ,the nuanced kraft of `` elling '' is that it never losing touch with the actuality of the grim situation . ,0.0006014108658,0.03061825037,1,1,1,13,Failed,Positive
holm ... embodies the character with an effortlessly regal charisma . ,holm ... embodies the personage with an effortlessly royal charisma . ,0.0003955960274,0.0007142424583,1,1,1,7,Failed,Positive
"the title not only describes its main characters , but the lazy people behind the camera as well . ","the title not only depicts its leading characters , but the lazy people behind the camera as well . ",0.01353698969,0.03094381094,0,0,0,26,Failed,Positive
it offers little beyond the momentary joys of pretty and weightless intellectual entertainment . ,it offers tiny beyond the momentary joys of pretty and weightless intellectual entertainment . ,0.1102853417,0.9940889478,0,1,0,4,Successful,Negative
a synthesis of cliches and absurdities that seems positively decadent in its cinematic flash and emptiness . ,a synthesis of cliches and absurdities that seems positively decadent in its cinematic flash and emptiness . ,0.6958693862,0.6958693862,1,1,0,1,Skipped,Neutral
a subtle and well-crafted ( for the most part ) chiller . ,a subtle and well-crafted ( for the most portion ) chiller . ,0.000384926796,0.0003860592842,1,1,1,4,Failed,Negative
has a lot of the virtues of eastwood at his best . ,has a lot of the advantages of eastwood at his finest . ,0.0002995729446,0.0006474852562,1,1,1,6,Failed,Neutral
it 's hampered by a lifetime-channel kind of plot and a lead actress who is out of her depth . ,it 's constrained by a lifetime-channel genus of intrigue and a lead actress who is out of her depth . ,0.0008432865143,0.005051255226,0,0,0,26,Failed,Negative
"it feels like an after-school special gussied up with some fancy special effects , and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes . ","it feels like an after-school special gussied up with some fancy special influences , and watching its rote intrigue points connect is about as excite as gazing at an egg clock for 93 minutes . ",0.001534104347,0.004837036133,0,0,0,18,Failed,Negative
"for the most part , director anne-sophie birot 's first feature is a sensitive , extraordinarily well-acted drama . ","for the most portion , director anne-sophie birot 's first attribute is a receptive , unimaginably well-acted drama . ",0.0003477334976,0.001907527447,1,1,1,32,Failed,Negative
"mr. tsai is a very original artist in his medium , and what time is it there ? ","mr. tsai is a very originals artist in his midst , and what time is it there ? ",0.02018076181,0.6689047813,1,0,1,6,Successful,Negative
sade is an engaging look at the controversial eponymous and fiercely atheistic hero . ,sade is an participate gaze at the debatable eponymous and strenuously atheistic hero . ,0.0009563565254,0.6424467564,1,0,1,20,Successful,Negative
so devoid of any kind of intelligible story that it makes films like xxx and collateral damage seem like thoughtful treatises ,so bereft of any kind of comprehensible saga that it makes films like xxx and collateral damage appears like thoughtful treatises ,0.002104401588,0.03238224983,0,0,0,11,Failed,Neutral
"a tender , heartfelt family drama . ","a offers , heartfelt family drama . ",0.0002769827843,0.0004140734673,1,1,1,6,Failed,Negative
... a hollow joke told by a cinematic gymnast having too much fun embellishing the misanthropic tale to actually engage it . ,... a hollow giggle told by a cinematic gymnast having too much fun embellishing the misanthropic history to genuinely embark it . ,0.001497864723,0.007135033607,0,0,0,19,Failed,Negative
the cold turkey would 've been a far better title . ,the chilly turkeys would 've been a far better title . ,0.01298624277,0.01848161221,0,0,0,4,Failed,
manages to be both repulsively sadistic and mundane . ,manages to be both repulsively sadistic and mundane . ,0.692896843,0.692896843,1,1,0,1,Skipped,
"it 's just disappointingly superficial -- a movie that has all the elements necessary to be a fascinating , involving character study , but never does more than scratch the surface . ","it 's just disappointingly superficial -- a flick that has all the element indispensable to be a fascinating , involving character study , but never does more than graze the surface . ",0.002178192139,0.004142224789,0,0,0,20,Failed,
"this is a story of two misfits who do n't stand a chance alone , but together they are magnificent . ","this is a conte of two misfits who do n't stand a chances mere , but together they are resplendent . ",0.0002935528755,0.001811921597,1,1,1,39,Failed,
"schaeffer has to find some hook on which to hang his persistently useless movies , and it might as well be the resuscitation of the middle-aged character . ","schaeffer has to find some hooks on which to hang his tirelessly fruitless films , and it might as well be the resuscitation of the middle-aged character . ",0.001174509525,0.004732489586,0,0,0,22,Failed,
the primitive force of this film seems to bubble up from the vast collective memory of the combatants . ,the rudimentary force of this film seems to bubble up from the overwhelming collective memory of the combatants . ,0.01449358463,0.1006019711,1,1,1,5,Failed,
"on this tricky topic , tadpole is very much a step in the right direction , with its blend of frankness , civility and compassion . ","on this tricky topic , tadpole is very much a steps in the right orientation , with its amalgam of frankness , civility and pity . ",0.000415623188,0.09740787745,1,1,1,21,Failed,
"the script kicks in , and mr. hartley 's distended pace and foot-dragging rhythms follow . ","the screenplay kicks in , and monsieur. hartley 's distended rhythm and foot-dragging rhythms follow . ",0.01007282734,0.02368336916,0,0,0,11,Failed,
you wonder why enough was n't just a music video rather than a full-length movie . ,you wonder why suitably was n't just a music videos rather than a full-length filmmaking . ,0.003814160824,0.02348709106,0,0,0,12,Failed,
"if you 're hard up for raunchy college humor , this is your ticket right here . ","if you 're hard up for raunchy college humour , this is your tickets right here . ",0.006484627724,0.1492125988,1,1,1,5,Failed,
"a fast , funny , highly enjoyable movie . ","a speedily , funny , greatly agreeable film . ",0.0002346634865,0.0003086328506,1,1,1,16,Failed,
good old-fashioned slash-and-hack is back ! ,buena old-fashioned slash-and-hack is back ! ,0.02751839161,0.1811073422,1,1,1,3,Failed,
"this one is definitely one to skip , even for horror movie fanatics . ","this one is definitely one to skip , even for horror movie fanatics . ",0.9507730007,0.9507730007,1,1,0,1,Skipped,
"for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou never really builds up a head of emotional steam . ","for all its amazing craft , and despite an overbearing series of third-act crescendos , lily chou-chou never truthfully builds up a head of emotional vapour . ",0.00662791729,0.6415108442,0,1,0,33,Successful,Neutral
"exquisitely nuanced in mood tics and dialogue , this chamber drama is superbly acted by the deeply appealing veteran bouquet and the chilling but quite human berling . ","exquisitely nuanced in mood tics and dialogue , this room opera is astonishingly behaved by the deeply appealing veteran bouquet and the chilling but quite human berling . ",0.0003209114075,0.0004447102547,1,1,1,12,Failed,
uses high comedy to evoke surprising poignance . ,uses high humour to evoke surprising poignance . ,0.0004833936691,0.0004862546921,1,1,1,2,Failed,
"one of creepiest , scariest movies to come along in a long , long time , easily rivaling blair witch or the others . ","one of creepiest , scariest cinematographic to coming along in a long , lengthy time , conveniently rivaling blair witch or the others . ",0.006107211113,0.7350087762,1,0,1,21,Successful,Negative
a string of rehashed sight gags based in insipid vulgarity . ,a rope of rehashed sight gags based in insipid vulgarity . ,0.001082420349,0.001165807247,0,0,0,6,Failed,
among the year 's most intriguing explorations of alientation . ,entre the year 's most enigmatic exploration of alientation . ,0.0004612207413,0.002774298191,1,1,1,16,Failed,
the movie fails to live up to the sum of its parts . ,the movie fails to inhabit up to the sum of its parts . ,0.001061499119,0.001405060291,0,0,0,7,Failed,
the son 's room is a triumph of gentility that earns its moments of pathos . ,the son 's bedroom is a clockwork of gentility that earns its moments of pathos . ,0.0008563995361,0.006367623806,1,1,1,12,Failed,
"there is nothing outstanding about this film , but it is good enough and will likely be appreciated most by sailors and folks who know their way around a submarine . ","there is nothing excellent about this film , but it is alright enough and will maybe be enjoyed most by sailors and folks who know their way around a submarine . ",0.002306640148,0.01385372877,1,1,1,21,Failed,
this is a train wreck of an action film -- a stupefying attempt by the filmmakers to force-feed james bond into the mindless xxx mold and throw 40 years of cinematic history down the toilet in favor of bright flashes and loud bangs . ,this is a train shipwreck of an action film -- a stupefying strives by the cinematographers to force-feed james bond into the mindless xxx mold and throw 40 years of cinematic history down the latrines in favor of radiant flashes and loud bangs . ,0.001024127007,0.03400540352,0,0,0,45,Failed,
the draw ( for `` big bad love '' ) is a solid performance by arliss howard . ,the attracts ( for `` considerable bad love '' ) is a solid performance by arliss howard . ,0.0003939270973,0.0008492469788,1,1,1,16,Failed,
"green might want to hang onto that ski mask , as robbery may be the only way to pay for his next project . ","green might wanted to hang in that ski mask , as stealing may be the only way to pay for his next projects . ",0.005337536335,0.007409453392,0,0,0,25,Failed,
it 's one pussy-ass world when even killer-thrillers revolve around group therapy sessions . ,it 's one pussy-ass world when yet killer-thrillers revolve around group therapy sessions . ,0.009884357452,0.5168637037,0,1,0,2,Successful,Negative
"though it 's become almost redundant to say so , major kudos go to leigh for actually casting people who look working-class . ","though it 's become almost redundant to say so , principal kudos go to leigh for actually pouring people who look working-class . ",0.216738224,0.7032178044,1,0,1,7,Successful,Negative
"the band 's courage in the face of official repression is inspiring , especially for aging hippies ( this one included ) . ","the banding 's courage in the encountering of officially repression is inspiring , especially for ageing hippies ( this one included ) . ",0.0009814500809,0.0016015172,1,1,1,26,Failed,
the movie achieves as great an impact by keeping these thoughts hidden as ... ( quills ) did by showing them . ,the movie achieves as great an repercussions by keeping these thoughts hidden as ... ( quills ) did by showing them . ,0.001063525677,0.7888008952,1,0,1,11,Successful,Negative
"the film flat lines when it should peak and is more missed opportunity and trifle than dark , decadent truffle . ","the films flat lines when it should peak and is more mistook opportunity and trifle than darkness , decadent truffle . ",0.002327620983,0.009257137775,0,0,0,20,Failed,
jaglom ... put ( s ) the audience in the privileged position of eavesdropping on his characters ,jaglom ... put ( s ) the audience in the privilege position of eavesdropping on his characters ,0.1919335723,0.9026563168,1,0,1,3,Successful,Negative
fresnadillo 's dark and jolting images have a way of plying into your subconscious like the nightmare you had a week ago that wo n't go away . ,fresnadillo 's gloom and jolting photo have a way of plying into your unconscious like the nightmare you had a week ago that wo n't go away . ,0.00560259819,0.532782197,1,0,1,20,Successful,Neutral
"we know the plot 's a little crazy , but it held my interest from start to finish . ","we know the plot 's a little loony , but it held my interest from initiates to finalise . ",0.001895666122,0.4848040938,1,1,1,31,Failed,
"it 's a scattershot affair , but when it hits its mark it 's brilliant . ","it 's a scattershot affair , but when it hits its mark it 's sumptuous . ",0.0007096529007,0.001484692097,1,1,1,14,Failed,
"hardly a masterpiece , but it introduces viewers to a good charitable enterprise and some interesting real people . ","scarcely a masterpiece , but it presenting audience to a good charitable firms and some interesting real people . ",0.000402033329,0.0007383227348,1,1,1,22,Failed,
"you wo n't like roger , but you will quickly recognize him . ","you wo n't like roger , but you will quickly recognize him . ",0.9957116842,0.9957116842,1,1,0,1,Skipped,
if steven soderbergh 's ` solaris ' is a failure it is a glorious failure . ,if steven soderbergh 's ` solaris ' is a failure it is a glorious failure . ,0.5858819485,0.5858819485,0,0,1,1,Skipped,
"byler reveals his characters in a way that intrigues and even fascinates us , and he never reduces the situation to simple melodrama . ","byler reveal his personages in a way that machinations and even fascinates us , and he never reductions the situation to simple melodrama . ",0.0004826784134,0.001593291759,1,1,1,30,Failed,
this riveting world war ii moral suspense story deals with the shadow side of american culture : racial prejudice in its ugly and diverse forms . ,this riveting world war ii moral suspense story deals with the shadow side of american culture : racial prejudice in its ugly and diverse forms . ,0.9990955591,0.9990955591,1,1,0,1,Skipped,
"it 's difficult to imagine the process that produced such a script , but here 's guessing that spray cheese and underarm noises played a crucial role . ","it 's difficult to imagine the process that produced such a screenplay , but here 's guessing that sprinkler cheese and underarm sounds played a indispensable role . ",0.01144862175,0.3778309822,0,0,0,21,Failed,
"no sophomore slump for director sam mendes , who segues from oscar winner to oscar-winning potential with a smooth sleight of hand . ","no sophomore doldrums for director sam mendes , who segues from oscar winner to oscar-winning potential with a seamless sleight of hand . ",0.001087903976,0.01125472784,1,1,1,8,Failed,
"on the whole , the movie lacks wit , feeling and believability to compensate for its incessant coarseness and banality . ","on the whole , the cinema lacked wit , sensation and believability to compensate for its unbroken coarseness and banality . ",0.0008094906807,0.001488268375,0,0,0,36,Failed,
why make a documentary about these marginal historical figures ? ,why make a documentaries about these marginal history figures ? ,0.004521548748,0.005759477615,0,0,0,4,Failed,
"neither parker nor donovan is a typical romantic lead , but they bring a fresh , quirky charm to the formula . ","neither parker nor donovan is a emblematic romantic lead , but they bringing a fresh , quirky seduction to the formula . ",0.0005167722702,0.001894712448,1,1,1,12,Failed,
"his last movie was poetically romantic and full of indelible images , but his latest has nothing going for it . ","his last films was poetically romantic and full of indelible image , but his recent has anything going for it . ",0.00150001049,0.2851619124,0,0,0,19,Failed,
"does paint some memorable images ... , but makhmalbaf keeps her distance from the characters ","does paint some memorable images ... , but makhmalbaf keeps her distancing from the characters ",0.1067278385,0.7476174831,1,0,1,2,Successful,Negative
"a gripping movie , played with performances that are all understated and touching . ","a gripping films , served with performances that are all understated and touching . ",0.0002173781395,0.0002419352531,1,1,1,10,Failed,
"it 's one of those baseball pictures where the hero is stoic , the wife is patient , the kids are as cute as all get-out and the odds against success are long enough to intimidate , but short enough to make a dream seem possible . ","it 's one of those baseball pictures where the hero is stoic , the wife is ill , the kids are as purty as all get-out and the odds against success are long enough to intimidate , but short enough to make a dream seem possible . ",0.004979372025,0.6708419323,1,0,1,8,Successful,Negative
"combining quick-cut editing and a blaring heavy metal much of the time , beck seems to be under the illusion that he 's shooting the latest system of a down video . ","combining quick-cut edition and a blaring heavy metal much of the time , beck seems to be under the chimera that he 's shooting the newest system of a down videos . ",0.008028745651,0.04077345133,0,0,0,12,Failed,
the movie 's relatively simple plot and uncomplicated morality play well with the affable cast . ,the cinematography 's fairly mere plot and uncomplicated morals play well with the affable cast . ,0.0005035400391,0.005995452404,1,1,1,15,Failed,
what the director ca n't do is make either of val kilmer 's two personas interesting or worth caring about . ,what the superintendent wo n't do is deliver either of val kilmer 's two persons interesting or worth caring about . ,0.001385092735,0.002715468407,0,0,0,5,Failed,
"too often , the viewer is n't reacting to humor so much as they are wincing back in repugnance . ","too commonly , the beholder is n't reacting to humor so much as they are wincing back in aversion . ",0.00426197052,0.05452185869,0,0,0,15,Failed,
it 's great escapist fun that recreates a place and time that will never happen again . ,it 's prodigious escapist funny that recreates a place and moment that will never emerge again . ,0.0002692341805,0.0006473660469,1,1,1,24,Failed,
"scores no points for originality , wit , or intelligence . ","scores no dot for originality , wit , or intelligence . ",0.002812445164,0.006424725056,0,0,0,2,Failed,
"there is n't nearly enough fun here , despite the presence of some appealing ingredients . ","there is n't roughly suffice droll here , though the presence of some appealing ingredients . ",0.006512880325,0.6004129648,0,1,0,18,Successful,Negative
hilariously inept and ridiculous . ,hilariously inept and ridiculous . ,0.996982038,0.996982038,0,0,1,1,Skipped,
this movie is maddening . ,this movies is maddening . ,0.0008187890053,0.001052796841,0,0,0,4,Failed,
"it haunts you , you ca n't forget it , you admire its conception and are able to resolve some of the confusions you had while watching it . ","it haunts you , you ca n't overlook it , you admired its conception and are able to dissipating some of the confusions you had while staring it . ",0.0002806782722,0.0005257725716,1,1,1,21,Failed,
sam mendes has become valedictorian at the school for soft landings and easy ways out . ,sam mendes has become valedictorian at the school for soft landings and easy ways out . ,0.9795149565,0.9795149565,1,1,0,1,Skipped,
one of the smartest takes on singles culture i 've seen in a long time . ,one of the brightest takes on singles culture i 've seen in a lengthy period . ,0.0004213452339,0.000552713871,1,1,1,5,Failed,
"moody , heartbreaking , and filmed in a natural , unforced style that makes its characters seem entirely convincing even when its script is not . ","fickle , heartbreaking , and filmed in a natural , unforced style that makes its characters seems entirely persuade even when its scripts is not . ",0.0003397464752,0.0005946159363,1,1,1,17,Failed,
every nanosecond of the the new guy reminds you that you could be doing something else far more pleasurable . ,every nanosecond of the the new guy reminds you that you could be doing something else far more pleasurable . ,0.9964359403,0.9964359403,1,1,0,1,Skipped,
comes ... uncomfortably close to coasting in the treads of the bicycle thief . ,happens ... uncomfortably close to coasting in the treads of the bicycle robber . ,0.00594329834,0.02154290676,0,0,0,6,Failed,
"warm water under a red bridge is a quirky and poignant japanese film that explores the fascinating connections between women , water , nature , and sexuality . ","caliente water under a red bridge is a quirky and poignant japanese movies that scrutinize the exciting connections between women , water , nature , and sexuality . ",0.0004509091377,0.1575037241,1,1,1,23,Failed,
it seems to me the film is about the art of ripping people off without ever letting them consciously know you have done so ,it seems to me the film is about the art of ripping people off without ever letting them consciously know you have done so ,0.8237829804,0.8237829804,1,1,0,1,Skipped,
old-form moviemaking at its best . ,old-form moviemaking at its nicest . ,0.004161953926,0.494577229,1,1,1,4,Failed,
turns potentially forgettable formula into something strangely diverting . ,turns potentially forgettable formula into something suspiciously diverting . ,0.01182997227,0.9818236232,1,0,1,10,Successful,Positive
"( lawrence bounces ) all over the stage , dancing , running , sweating , mopping his face and generally displaying the wacky talent that brought him fame in the first place . ","( lawrence bounces ) all over the stage , dancing , running , sweating , mopping his face and typically displaying the wacky talent that brought him fame in the first place . ",0.3269555569,0.5641983747,1,0,1,12,Successful,Negative
a movie that reminds us of just how exciting and satisfying the fantasy cinema can be when it 's approached with imagination and flair . ,a films that resembles us of just how exciting and satisfying the fantasy movie can be when it 's approached with fantasy and flair . ,0.0002283453941,0.0006596446037,1,1,1,36,Failed,
confirms the nagging suspicion that ethan hawke would be even worse behind the camera than he is in front of it . ,assures the nagging suspicion that ethan hawke could be even worse behind the camera than he is in front of it . ,0.04355061054,0.5591081381,0,1,0,16,Successful,Negative
"in the end , we are left with something like two ships passing in the night rather than any insights into gay love , chinese society or the price one pays for being dishonest . ","in the ends , we are left with something like two vessel passing in the night somewhat than any insights into homosexual love , chinese society or the price one pays for being dishonest . ",0.003759622574,0.01282066107,0,0,0,19,Failed,
montias ... pumps a lot of energy into his nicely nuanced narrative and surrounds himself with a cast of quirky -- but not stereotyped -- street characters . ,montias ... substation a lot of energies into his politely nuanced narrative and surrounding himself with a cast of quirky -- but not stereotyped -- street characters . ,0.0003529787064,0.05271291733,1,1,1,17,Failed,
"it provides the grand , intelligent entertainment of a superior cast playing smart people amid a compelling plot . ","it prescribes the prodigious , termite amusement of a superior cast playing smart people amid a compelling plot . ",0.0002629160881,0.0536891818,1,1,1,31,Failed,
suffers from the lack of a compelling or comprehensible narrative . ,suffer from the lacking of a compelling or legible narrative . ,0.001133084297,0.001412153244,0,0,0,11,Failed,
"in execution , this clever idea is far less funny than the original , killers from space . ","in execution , this clever idea is far lesser funny than the original , killers from space . ",0.005571126938,0.6675609946,0,1,0,13,Successful,Negative
scooby dooby doo / and shaggy too / you both look and sound great . ,scooby dooby doo / and shaggy too / you both look and sounds prodigious . ,0.0004625320435,0.9418150187,1,0,1,12,Successful,Negative
"the tale of tok ( andy lau ) , a sleek sociopath on the trail of o ( takashi sorimachi ) , the most legendary of asian hitmen , is too scattershot to take hold . ","the conte of tok ( andy lau ) , a sleek sociopath on the trail of o ( takashi sorimachi ) , the most fabled of asiatic hitmen , is too scattershot to take held . ",0.01428049803,0.04184925556,0,0,0,24,Failed,
it all drags on so interminably it 's like watching a miserable relationship unfold in real time . ,it all drags on so interminably it 's like watching a sorrowful relationship unfolds in genuine time . ,0.002389192581,0.1515265107,0,0,0,24,Failed,
"pumpkin means to be an outrageous dark satire on fraternity life , but its ambitions far exceed the abilities of writer adam larson broder and his co-director , tony r. abrams , in their feature debut . ","pumpkin means to be an outrageous dark satire on fraternity life , but its ambitions far surpassing the abilities of writer adam larson broder and his co-director , tony r. abrams , in their feature debut . ",0.01997172832,0.9923098683,0,1,0,16,Successful,Positive
looks and feels like a project better suited for the small screen . ,looks and feels like a project best tailored for the small screen . ,0.003388702869,0.8017773628,0,1,0,4,Successful,Negative
