text,label,transforms_applied,is_changed,features,LLM
for those moviegoers . who complain that ` they do n't make movies ! like they used to anymore ,0,[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0],1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 1 0 0]",22222
"the portrayal where measure 's occur , ",0,[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",22222
saw how bad this movie was  👨🏿‍🤝‍👨🏾,0,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1,"[0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",22222
lend some dignitу 𝚝о a ԁumb ѕtorу ,0,[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0],1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",22222
the greatest musicians ,1,[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",22222
ϲolԁ movie ,0,[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0],1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",22222
with his usual intelligence and subtlet ,1,[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0],1,"[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0
 0 0 0 0 0 0 0]",333
redundant concept ,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0],0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",333
"swimming is above all about a young woman 's face , and by casting an actress whose face projects that woman 's doubts and yearnings , it succeeds . ",1,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0],0,"[0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0
 0 0 0 0 0 0 0]",333
change the original and in some idea even change it ,1,[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1,"[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",333
"if anything , see it for karen black , hwo camps up a storm as a fringe feminist conspiracy theorist named dirty dick . ",1,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],1,"[0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",333
a sｍіⅼe on youⲅ 𝚏ace ,1,[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0],1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",333
"lead from the brave , uninhibited amusement ",1,[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",444
excruciatingly սnfսnny ɑnd pі𝚝ifulⅼу unromɑոtіc ,0,[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0],1,"[0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",444
enriched by an imaginatively mixed cast of antic spirits  🙎🏿‍♂,1,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",444
"which half of dragonfly is worse : the part where 's 's happening , or the part where something nothing happening",0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0],1,"[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1
 0 0 0 0 0 0 0]",444
in world cinema  🤞🏻,1,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",444
very ɡood vieԝing ɑⅼ𝚝ernɑtіve ,1,[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0],1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",444
"the plot is nothing but boilerplate from start to ,",0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1],1,"[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 1 0 0]",444
the action is stilted ,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0],0,"[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",555555
on all cylinders  🧑🏾‍🤝‍🧑🏾,1,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",555555
will find little of interest in this film  which is often preachy and poorly acted ,0,[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0],1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0
 0 0 0 0 0 0 0]",555555
by far the worst movie of the year ,0,[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
 0 0 0 0 0 0 0]",555555
"sit through , ",0,[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0],0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",555555
more than another `` best man '' clone by weaving a theme throughout this funny film ,1,[0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",555555
! it 's about issues most adults . have to face in marriage and i think that 's what ! i liked about it -- the real issues tucked between the silly and . crude storyline ,1,[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0],1,"[0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 1 0 0]",555555
heroes ,1,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1],0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",555555
oblivious to the existence of this film ,0,[0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 1 0]",6666
sharply ,1,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",6666
"the entire point of a shaggy dog story , of course , is that it goes nowhere , and this is classic nowheresville in every sense . ",0,[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0,"[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 1 0]",6666
sometimes alter ,0,[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",6666
"as they come , already having been recycled more times thwn i 'd care to count ",0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 1 0 0]",6666
this wit and originality suggesting that with his fourth feature,1,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1],1,"[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 1 0 0 0 0 1 0 0 0
 0 0 0 0 0 0 0]",6666
a $ 40 million version of a yame ,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 1]",6666
gorgeous and misleadingly deceptively minimalist,1,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0],1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",7777777
cross swords with the best of them and ,1,[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],0,"[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",7777777
as a border soul lot intellectual ,0,[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1,"[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0
 0 0 0 0 0 0 0]",7777777
"proves once again he has n't lost his] touch , bringing off a superb performance in an admittedly middling film . ",1,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0],1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0
 0 0 0 0 0 0 0]",7777777
disappointments,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0],1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",7777777
the hxorrors ,0,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0],1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",7777777
a rummage moisten with bloody fairness as vivid as any scorsese has ever rededicate us . ,1,[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 1 0 0]",7777777
many pointless ,0,[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0
 0 0 0 0 0 0 0]",7777777
a beautifully,1,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1],1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",7777777
"contrived , well-worn situations ",0,[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",8888
a doa ,0,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",8888
poor ben bratt could n't find stardom if mapquest emailed him point-to-point directions driving .,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0],1,"[0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0
 0 0 1 0 0 0 0]",8888
to be as subtle and touching as the son 's room  🙌🏼,1,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1,"[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
 0 0 0 0 0 0 0]",8888
ѕtarts wi𝚝հ a ⅼegеnd ,1,[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0],1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",8888
far less sophisticated and  👩🏾‍🤝‍👨🏻,0,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1,"[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
 0 0 0 0 0 0 0]",8888
rich veins of racy funny stuff in this movie,1,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0],1,"[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",8888
", no apparent , joy ",0,[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0],1,"[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",8888
shot on ugly digital vdieo ,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",8888
... a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920 's ... the film 's ending has a `` what was it all for ? '' ,0,[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],0,"[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 1 0 1
 0 0 0 0 1 0 0]",8888
"though ford and neeson capably hold our interest , but its just not a tYrilling movie ",0,[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0],1,"[0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",
is pretty damned funny .  👨‍🚒,1,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1,"[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",
we never feel qnything for these characters ,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 1 0 0]",
's a A lousy one at that,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0],1,"[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",
the corporate circus that is the inscribe assiduity in the current climate of mergers and downsizing ,0,[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 1 0 0]",
"the storylines are woven together skilfully , the magnificent swooping aerial shots are breathtaking , and the overall experience is awesome . ",1,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0,"[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",
of the most highly-praised disappointments i ,0,[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],0,"[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",
"sounds like a cruel deception carried out by men of marginal intelligence , with reactionary ideas about women and a total lack of astir empathy .",0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0],1,"[0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",
seem fres ,1,[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0],1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",
to teh dustbin of history ,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",
"ɑs a diⲅectоr , еɑs𝚝wоod іѕ off hiѕ game ",0,[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0],1,"[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",
pays earnest homage to turntablists ,1,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0],0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",
weak and ,0,[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0],0,"[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",
"skip this dreck dreck ,",0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0],1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",
contains very few laughs and even less surprises ,0,[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],0,"[0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0
 0 0 0 0 0 0 0]",
film to affirm love 's power help people endure almost unimaginable horror,1,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1],1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 1 0 0
 0 0 0 0 0 0 0]",
are an follow absolute joy,1,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0],1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",
generate ,1,[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",
", like life , is n't much fun without the highs and lows ",1,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0,"[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0
 0 0 0 0 0 0 0]",
based on a true and historically significant story  🚶🏿‍♂️,1,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",
well-rounded tribute  🤷🏾‍♂,1,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",
", vacuum many of the actors throw off a spark or two when they first appear , they ca n't generate enough heat in this cold though of a comedy to start a reaction .",0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0],1,"[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 0 0 0 0 0 0 1 0
 0 0 0 0 1 0 0]",
