idx,text,label,llm_label,llm_explanation,different_label,features,transforms
14,even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . ,0,0,"The sentiment of the text is negative. The phrase 'most likely not find what they're seeking' implies that the movie is not satisfying, and the addition of 'lacks both thrills and humor' further suggests that the movie is not enjoyable. These statements indicate a negative sentiment.",0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0
 0 0 0 0 0 0 0]",[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
15,"a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama . ",1,1,"The sentiment of the text is positive. The use of words like 'gorgeous', 'high-spirited', and 'exquisitely' indicate that the musical is of high quality and enjoyable, suggesting a positive evaluation.",0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
16,the emotions are raw and will strike a nerve with anyone who 's ever had family trauma . ,1,1,"The sentiment of the text is positive. The use of the word 'raw' implies that the emotions being discussed are genuine and powerful, which is a positive evaluation. The phrase 'strike a nerve' suggests that the subject matter is relatable and will resonate with the audience, which is also a positive sentiment.",0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0]
17,"audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie . ",1,1,"The sentiment of the text is positive. The use of words like 'knack', 'outrageous charm', 'literate', 'exuberant', and 'amélie' suggest that the subject is talented and entertaining, creating a positive sentiment.",0,"[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
 0 0 0 0 0 0 0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0]
18,... the movie is just a plain old monster . ,0,2,"The sentiment of the text is neutral. The use of words like 'plain' and 'old' suggest that the movie is not particularly remarkable or noteworthy, which is a neutral evaluation.",1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
19,"in its best moments , resembles a bad high school production of grease , without benefit of song . ",0,0,"The sentiment of the text is negative. The phrase 'bad high school production of grease' implies that the production is of low quality, and the addition of 'without benefit of song' suggests that it is even worse than expected. This paints a negative picture of the production.",0,"[0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0
 0 0 0 0 0 0 0]",[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
20,"pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . ",0,2,"The sentiment of the text is neutral. The text acknowledges the admirable look at the hypocrisy of political correctness, but also notes the uneven tone which makes it difficult to distinguish between humor and tragedy. This suggests an overall neutral sentiment.",1,"[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0
 0 0 0 0 0 0 0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
21,the iditarod lasts for days - this just felt like it did . ,0,2,"The sentiment of the text is neutral. The text does not contain any words that suggest a positive or negative sentiment, so the sentiment is neutral.",1,"[0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
22,holden caulfield did it better . ,0,1,"The sentiment of the text is positive. The use of the phrase 'did it better' implies that the subject matter being discussed is superior to other alternatives, suggesting a positive evaluation.",1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
23,"a delectable and intriguing thriller filled with surprises , read my lips is an original . ",1,1,"The sentiment of the text is positive. The use of words like 'delectable', 'intriguing', and 'original' indicate that the thriller is enjoyable and captivating, suggesting a positive evaluation.",0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0]
24,seldom has a movie so closely matched the spirit of a man and his work . ,1,1,"The sentiment of the text is positive. The use of the word 'seldom' implies that the movie is rare and unique, which is a positive evaluation. The phrase 'closely matched the spirit of a man and his work' implies that the movie accurately captured the essence of the man and his work, which is also a positive sentiment.",0,"[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
25,"nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to formula romantic comedy . ",0,2,"The sentiment of the text is neutral. The text does not contain any words that suggest a positive or negative sentiment, so it is best classified as neutral.",1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0]
26,"the action switches between past and present , but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide . ",0,0,"The sentiment of the text is negative. The use of words like 'tenuous', 'anchor', and 'divide' suggest that the connection between the past and present is weak and insufficient, which has a negative connotation.",0,"[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 1 0 0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0]
27,it 's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part . ,1,1,"The sentiment of the text is positive. The phrase 'offbeat treat' implies that the subject matter is enjoyable and entertaining. The text also acknowledges the importance of the democratic exercise, suggesting a positive sentiment.",0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
28,"it 's a cookie-cutter movie , a cut-and-paste job . ",0,0,"The sentiment of the text is negative. The phrases 'cookie-cutter' and 'cut-and-paste' suggest that the movie is unoriginal and lacks creativity, which is a negative evaluation.",0,"[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0]
29,i had to look away - this was god awful . ,0,0,"The sentiment of the text is negative. The phrase 'god awful' is an expression of extreme disapproval, and the fact that the speaker had to look away implies that the experience was unpleasant.",0,"[0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 1 0 0]",[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
30,"thanks to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most compelling variations on in the company of men . ",1,1,"The sentiment of the text is positive. The use of words like 'charismatic', 'sweet', and 'compelling' indicate that the movie is well-liked and highly praised, suggesting a positive sentiment.",0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0]
31,"... designed to provide a mix of smiles and tears , `` crossroads '' instead provokes a handful of unintentional howlers and numerous yawns . ",0,0,"The sentiment of the text is negative. The use of words like 'howlers' and 'yawns' implies that the subject matter is not enjoyable or entertaining, suggesting a negative evaluation.",0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0]
32,"a gorgeous , witty , seductive movie . ",1,1,"The sentiment of the text is positive. The use of words like 'gorgeous', 'witty', and 'seductive' suggest that the movie is aesthetically pleasing and enjoyable, indicating a positive sentiment.",0,"[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0]
33,"if the movie succeeds in instilling a wary sense of ` there but for the grace of god , ' it is far too self-conscious to draw you deeply into its world . ",0,0,"The sentiment of the text is negative. The phrase 'there but for the grace of god' implies that the movie is cautionary, and the words 'far too self-conscious' suggest that the movie is not engaging or immersive, which has a negative connotation.",0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 1 0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0]
34,"it does n't believe in itself , it has no sense of humor ... it 's just plain bored . ",0,0,"The sentiment of the text is negative. The use of words like 'believe', 'humor', and 'bored' indicate that the subject of the text is lacking in confidence and enthusiasm, suggesting a negative evaluation.",0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0]
35,a sequence of ridiculous shoot - 'em - up scenes . ,0,0,"The sentiment of the text is negative. The phrase 'shoot-em-up' implies chaotic and violent action, which has a negative connotation. The addition of the word 'ridiculous' further emphasizes the negative sentiment of the text.",0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0]
36,"the weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough . ",1,1,"The sentiment of the text is positive. The use of words like 'weight', 'unerring professionalism', and 'fascination' indicate that the piece is well-crafted and skillfully executed, suggesting a positive evaluation.",0,"[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 1 0 0]",[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0]
37,"( w ) hile long on amiable monkeys and worthy environmentalism , jane goodall 's wild chimpanzees is short on the thrills the oversize medium demands . ",0,2,"The sentiment of the text is neutral. The text does not contain any words that indicate a strong positive or negative sentiment, and instead provides a factual description of the subject matter.",1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
38,"as surreal as a dream and as detailed as a photograph , as visually dexterous as it is at times imaginatively overwhelming . ",1,1,"The sentiment of the text is positive. The use of words like 'surreal', 'detailed', 'visually dexterous', and 'imaginatively overwhelming' imply that the subject matter is creative and captivating, suggesting a positive evaluation.",0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 1 0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
39,"escaping the studio , piccoli is warmly affecting and so is this adroitly minimalist movie . ",1,1,"The sentiment of the text is positive. The use of words like 'warmly affecting' and 'adroitly minimalist' indicate that the movie is well-crafted and skillfully executed, suggesting a positive evaluation.",0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0]
40,"there 's ... tremendous energy from the cast , a sense of playfulness and excitement that seems appropriate . ",1,1,"The sentiment of the text is positive. The use of words like 'tremendous energy', 'playfulness', and 'excitement' indicate that the cast is enthusiastic and energetic, creating a positive atmosphere.",0,"[0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 1 0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0]
41,"this illuminating documentary transcends our preconceived vision of the holy land and its inhabitants , revealing the human complexities beneath . ",1,1,"The sentiment of the text is positive. The use of the words 'illuminating' and 'transcends' imply that the documentary is insightful and has the potential to challenge existing beliefs. The phrase 'revealing the human complexities beneath' suggests that the documentary is able to uncover the deeper truths of the subject matter, which is a positive evaluation.",0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 1 0 0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0]
42,the subtle strength of `` elling '' is that it never loses touch with the reality of the grim situation . ,1,1,"The sentiment of the text is positive. The use of the words 'subtle strength' and 'never loses touch' implies that the subject matter is resilient and able to withstand difficult circumstances. The addition of the phrase 'grim situation' adds to the positive sentiment, as it implies that the subject matter is able to remain strong despite difficult circumstances.",0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1
 0 0 0 0 1 0 0]",[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0]
43,holm ... embodies the character with an effortlessly regal charisma . ,1,1,"The sentiment of the text is positive. The use of words like 'effortlessly regal charisma' implies that the character is portrayed in a positive light, suggesting a positive sentiment.",0,"[1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0]
44,"the title not only describes its main characters , but the lazy people behind the camera as well . ",0,0,"The sentiment of the text is negative. The phrase 'lazy people behind the camera' implies that the people working on the project are not putting in enough effort, which has a negative connotation.",0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 1]",[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
45,it offers little beyond the momentary joys of pretty and weightless intellectual entertainment . ,0,2,"The sentiment of the text is neutral. The phrase 'momentary joys' implies that the subject matter is fleeting and not particularly meaningful. The use of the words 'pretty' and 'weightless' suggest that the entertainment is superficial and not particularly substantial, which is a neutral sentiment.",1,"[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0]
46,a synthesis of cliches and absurdities that seems positively decadent in its cinematic flash and emptiness . ,0,0,"The sentiment of the text is negative. The use of words like 'cliches', 'absurdities', 'decadent', and 'emptiness' suggests that the subject matter is shallow and unfulfilling, creating a negative sentiment.",0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0]
47,a subtle and well-crafted ( for the most part ) chiller . ,1,1,"The sentiment of the text is positive. The use of words like 'subtle' and 'well-crafted' indicate that the chiller is skillfully executed and of high quality, suggesting a positive evaluation.",0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
48,has a lot of the virtues of eastwood at his best . ,1,1,"The sentiment of the text is positive. The phrase 'virtues of Eastwood at his best' implies that Eastwood is highly skilled and capable, suggesting a positive evaluation.",0,"[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
49,it 's hampered by a lifetime-channel kind of plot and a lead actress who is out of her depth . ,0,0,"The sentiment of the text is negative. The use of words like 'hampered', 'lifetime-channel', and 'out of her depth' suggest that the plot and lead actress are not up to par, indicating a negative evaluation.",0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]
50,"it feels like an after-school special gussied up with some fancy special effects , and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes . ",0,0,"The sentiment of the text is negative. The use of phrases like 'after-school special' and 'gazing at an egg timer' indicate that the movie is dull and uninteresting, suggesting a negative evaluation.",0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0]
51,"for the most part , director anne-sophie birot 's first feature is a sensitive , extraordinarily well-acted drama . ",1,1,"The sentiment of the text is positive. The use of words like 'sensitive', 'extraordinarily', and 'well-acted' indicate that the director's first feature is of high quality and skillfully executed, suggesting a positive evaluation.",0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 1 0 0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
52,"mr. tsai is a very original artist in his medium , and what time is it there ? ",1,1,"The sentiment of the text is positive. The phrase 'very original artist' implies that Mr. Tsai is highly skilled and creative in his medium, suggesting a positive evaluation.",0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0
 0 0 0 0 0 0 0]",[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
53,sade is an engaging look at the controversial eponymous and fiercely atheistic hero . ,1,2,"The sentiment of the text is neutral. The text does not contain any words that suggest a positive or negative sentiment, so it is best classified as neutral.",1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
54,so devoid of any kind of intelligible story that it makes films like xxx and collateral damage seem like thoughtful treatises ,0,0,"The sentiment of the text is negative. The phrase 'devoid of any kind of intelligible story' implies that the subject matter is lacking in quality, and the comparison to films like 'xxx' and 'collateral damage' suggests that it is even worse than those films, which are generally seen as low-quality. This indicates a negative evaluation.",0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0]
