idx,text,label,features,preds,transforms,is_changed,old_text,alignment_score,fluency_score,grammar_score,llm_label,llm_explanation,different_label,diff_html
10,you were n't invited to the /party ,0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[9.9955028e-01 4.4967473e-04],[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0],1,you were n't invited to the party ,0.99987686,0.343321146,1,0,"The sentiment of the text is negative. The phrase 'you were n't invited' implies exclusion and rejection, which has a negative connotation. The use of the word 'party' suggests that the exclusion is related to a social event, which can further contribute to negative emotions.",0,"<span>you were n't invited to the </span><ins style=""background:#e6ffe6;"">/</ins><span>party </span>"
11,makes minority report necessary sci-fi for viewing fans,1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[9.202654e-04 9.990797e-01],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0],1,makes minority report necessary viewing for sci-fi fans ,0.99902445,0.526387877,1,2,"The sentiment of the text is neutral. While the text contains descriptive language, it does not express a clear positive or negative sentiment. The use of the word 'necessary' suggests that the sci-fi movie 'Minority Report' is worth watching for fans of the genre, but does not express a strong emotional evaluation.",1,"<span>makes minority report necessary </span><del style=""background:#ffe6e6;"">v</del><ins style=""background:#e6ffe6;"">sc</ins><span>i</span><del style=""background:#ffe6e6;"">ew</del><ins style=""background:#e6ffe6;"">-f</ins><span>i</span><del style=""background:#ffe6e6;"">ng</del><span> for </span><del style=""background:#ffe6e6;"">sc</del><ins style=""background:#e6ffe6;"">v</ins><span>i</span><del style=""background:#ffe6e6;"">-f</del><ins style=""background:#e6ffe6;"">ew</ins><span>i</span><ins style=""background:#e6ffe6;"">ng</ins><span> fans</span><del style=""background:#ffe6e6;""> </del>"
12,child abuse  🇰🇷,0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[0.9981488  0.00185121],[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1,child abuse ,0.9983556,18.30353183,0.5,0,"The sentiment of the text is negative. The phrase 'child abuse' refers to a serious and harmful act, which has a negative connotation. The addition of the flag emoji does not affect the sentiment of the text.",0,"<span>child abuse </span><ins style=""background:#e6ffe6;""> 🇰🇷</ins>"
13,ability to right itself precisely when you think it s' in danger of going wrong ,1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 1 0 0]",[4.643060e-04 9.995357e-01],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],1,ability to right itself precisely when you think it 's in danger of going wrong ,0.99988943,0.679439879,1,1,"The sentiment of the text is positive. The phrase 'ability to right itself precisely' indicates that the subject being discussed has a skill or ability that is impressive and valuable. The phrase 'when you think it's in danger of going wrong' suggests that this ability is particularly useful in difficult or challenging situations, further emphasizing the positive sentiment.",0,"<span>ability to right itself precisely when you think it </span><del style=""background:#ffe6e6;"">'</del><span>s</span><ins style=""background:#e6ffe6;"">'</ins><span> in danger of going wrong </span>"
14,carries a charge of genuinec excitement ,1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[1.2243478e-04 9.9987757e-01],[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0],1,carries a charge of genuine excitement ,0.9999098,0.44739317,0.5,1,"The sentiment of the text is positive. The use of the phrase 'genuine excitement' indicates that the subject matter being discussed is thrilling and authentic, which is a positive evaluation.",0,"<span>carries a charge of genuine</span><ins style=""background:#e6ffe6;"">c</ins><span> excitement </span>"
15,"( a ) wonderfully loopy tale of love , longing , znd voting ",1,"[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 1 0]",[1.08062944e-04 9.99891877e-01],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],1,"( a ) wonderfully loopy tale of love , longing , and voting ",0.9999938,0.463193726,0.8,1,"The sentiment of the text is positive. The use of the words 'wonderfully' and 'loopy' suggest that the tale is enjoyable and entertaining. The inclusion of 'love' and 'longing' implies that the story has emotional depth, while 'voting' adds a unique and interesting element. Overall, the text conveys a positive evaluation of the tale.",0,"<span>( a ) wonderfully loopy tale of love , longing , </span><del style=""background:#ffe6e6;"">a</del><ins style=""background:#e6ffe6;"">z</ins><span>nd voting </span>"
16,to the dissident in metal all ,1,"[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[0.00234948 0.99765056],[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1,to the nonconformist in us all ,0.084184214,0.088955706,1,2,"The sentiment of the text is neutral. The phrase 'to the dissident in metal all' does not contain any overtly positive or negative language, and does not provide enough context to infer a sentiment one way or another.",1,"<span>to the </span><del style=""background:#ffe6e6;"">nonconform</del><ins style=""background:#e6ffe6;"">d</ins><span>is</span><ins style=""background:#e6ffe6;"">siden</ins><span>t in </span><del style=""background:#ffe6e6;"">us</del><ins style=""background:#e6ffe6;"">metal</ins><span> all </span>"
17,it 's packed with adventure and a worthwhile environmental mesasge ,1,"[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[1.1272673e-04 9.9988723e-01],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],1,it 's packed with adventure and a worthwhile environmental message ,0.9999819,0.288148195,0.5,1,"The sentiment of the text is positive. The use of the words 'packed with adventure' suggests excitement and entertainment, while the phrase 'worthwhile environmental message' implies that the content is meaningful and socially responsible. Overall, the text has a positive tone.",0,"<span>it 's packed with adventure and a worthwhile environmental mes</span><del style=""background:#ffe6e6;"">s</del><span>a</span><ins style=""background:#e6ffe6;"">s</ins><span>ge </span>"
18,the subtitles fool yo ,0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[9.994025e-01 5.974661e-04],[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0],1,the subtitles fool you ,1.0001994,0.19592283,1,0,"The sentiment of the text is negative. The use of the word 'fool' implies that the subtitles are deceptive or misleading in some way, which has a negative connotation. The use of 'yo' suggests a casual or informal tone, but does not affect the sentiment classification.",0,"<span>the subtitles fool yo</span><del style=""background:#ffe6e6;"">u</del><span> </span>"
19,figure worker who intercommunicate what william james once oppose ` the ability of opening ,1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0
 0 0 0 0 1 0 0]",[0.0072526  0.99274737],[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1,two men who discover what william james once called ` the gift of tears ,0.7251076,0.226482433,1,2,The sentiment of the text is neutral. The text is difficult to interpret and lacks clear positive or negative sentiment. It appears to be a fragment of a sentence or a phrase without clear context.,1,"<del style=""background:#ffe6e6;"">t</del><ins style=""background:#e6ffe6;"">figure </ins><span>wo</span><del style=""background:#ffe6e6;""> m</del><ins style=""background:#e6ffe6;"">rk</ins><span>e</span><del style=""background:#ffe6e6;"">n</del><ins style=""background:#e6ffe6;"">r</ins><span> who </span><del style=""background:#ffe6e6;"">d</del><span>i</span><del style=""background:#ffe6e6;"">s</del><ins style=""background:#e6ffe6;"">nter</ins><span>co</span><del style=""background:#ffe6e6;"">v</del><ins style=""background:#e6ffe6;"">mmunicat</ins><span>e</span><del style=""background:#ffe6e6;"">r</del><span> what william james once </span><del style=""background:#ffe6e6;"">call</del><ins style=""background:#e6ffe6;"">oppos</ins><span>e</span><del style=""background:#ffe6e6;"">d</del><span> ` the </span><del style=""background:#ffe6e6;"">g</del><ins style=""background:#e6ffe6;"">ab</ins><span>i</span><del style=""background:#ffe6e6;"">f</del><ins style=""background:#e6ffe6;"">li</ins><span>t</span><ins style=""background:#e6ffe6;"">y</ins><span> of </span><del style=""background:#ffe6e6;"">t</del><ins style=""background:#e6ffe6;"">op</ins><span>e</span><del style=""background:#ffe6e6;"">ars</del><ins style=""background:#e6ffe6;"">ning</ins><span> </span>"
20,"takes care with the characters , who are so that feel what they .",1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[1.4591363e-04 9.9985409e-01],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1],1,"takes care with the characters , who are so believable that you feel what they feel . ",0.99932665,0.240488572,1,2,"The sentiment of the text is neutral. While the text contains positive words like 'takes care' and 'feel', it is difficult to determine the overall sentiment without more context. Additionally, the grammar and syntax of the sentence are unclear and may require further clarification.",1,"<span>takes care with the characters , who are so </span><del style=""background:#ffe6e6;"">believable </del><span>that </span><del style=""background:#ffe6e6;"">you </del><span>feel what they </span><del style=""background:#ffe6e6;"">feel </del><span>.</span><del style=""background:#ffe6e6;""> </del>"
21,"is gone , replaced ; by ; the . forced funniness ? found in the dullest kiddie flicks ? ",0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[9.997526e-01 2.473984e-04],[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0],1,"is gone , replaced by the forced funniness found in the dullest kiddie flicks ",1.0000314,0.494721592,0.4,0,"The sentiment of the text is negative. The use of punctuation and fragmented sentence structure suggests a sense of confusion or disappointment. The phrase 'forced funniness' implies that the humor is not genuine or enjoyable, and the comparison to 'dullest kiddie flicks' suggests a lack of quality or sophistication.",0,"<span>is gone , replaced </span><ins style=""background:#e6ffe6;"">; </ins><span>by </span><ins style=""background:#e6ffe6;"">; </ins><span>the</span><ins style=""background:#e6ffe6;""> .</ins><span> forced funniness</span><ins style=""background:#e6ffe6;""> ?</ins><span> found in the dullest kiddie flicks </span><ins style=""background:#e6ffe6;"">? </ins>"
22,"recognise , and very probable ",1,"[0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[8.9701120e-04 9.9910307e-01],[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],1,"knows , and very likely ",0.99538535,0.441109585,1,2,"The sentiment of the text is neutral. The text does not contain any strongly positive or negative language, but rather presents a statement that is neither strongly positive nor strongly negative. Therefore, the label chosen is neutral.",1,"<del style=""background:#ffe6e6;"">kn</del><ins style=""background:#e6ffe6;"">rec</ins><span>o</span><del style=""background:#ffe6e6;"">w</del><ins style=""background:#e6ffe6;"">gni</ins><span>s</span><ins style=""background:#e6ffe6;"">e</ins><span> , and very </span><ins style=""background:#e6ffe6;"">probab</ins><span>l</span><del style=""background:#ffe6e6;"">ik</del><span>e</span><del style=""background:#ffe6e6;"">ly</del><span> </span>"
23,", timeless and universal/tale ",1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[1.1644247e-04 9.9988353e-01],[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0],1,", timeless and universal tale ",0.99999535,0.833388209,1,2,"The sentiment of the text is neutral. The text does not contain any strongly positive or negative words, but rather describes something as 'timeless and universal'. This could be interpreted as a positive sentiment, but without more context it is difficult to make a definitive judgment.",1,"<span>, timeless and universal</span><del style=""background:#ffe6e6;""> </del><ins style=""background:#e6ffe6;"">/</ins><span>tale </span>"
24,struck me as unusually and unimpressively fussy and unimpressively pretentious .,0,"[0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[9.9961734e-01 3.8261258e-04],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0],1,struck me as unusually and unimpressively fussy and pretentious . ,0.99999917,1.325722514,1,0,"The sentiment of the text is negative. The use of words like 'unusually', 'unimpressively', 'fussy', and 'pretentious' all have negative connotations and suggest that the subject being described is not impressive or desirable.",0,"<span>struck me as unusually and unimpressively fussy and </span><ins style=""background:#e6ffe6;"">unimpressively </ins><span>pretentious .</span><del style=""background:#ffe6e6;""> </del>"
25,spent elsewhere,0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[0.99869317 0.00130683],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0],1,spent elsewhere ,1,1.360927593,1,0,"The sentiment of the text is negative. The phrase 'spent elsewhere' suggests that resources or attention are being diverted away from something, which can have a negative impact on that thing. The use of the word 'elsewhere' implies that the new destination is not as desirable as the original one, adding to the negative sentiment.",0,"<span>spent elsewhere</span><del style=""background:#ffe6e6;""> </del>"
26,one of the year 's most enjoyable rleases ,1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[1.1108037e-04 9.9988890e-01],[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0],1,one of the year 's most enjoyable releases ,0.9999993,0.599765981,1,1,"The sentiment of the text is positive. The phrase 'most enjoyable' indicates that the release is highly entertaining and enjoyable, which is a positive evaluation. Additionally, the use of the phrase 'one of the year's' suggests that the release is notable and stands out among others, further adding to the positive sentiment.",0,"<span>one of the year 's most enjoyable r</span><del style=""background:#ffe6e6;"">e</del><span>leases </span>"
27,stuck in a dark pit having a about nightmare bad cinema,0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 1 0]",[9.9949920e-01 5.0084456e-04],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0],1,stuck in a dark pit having a nightmare about bad cinema ,1.0000856,0.307548659,0.333333333,0,"The sentiment of the text is negative. The use of words like 'stuck', 'dark pit', 'nightmare', and 'bad' all have negative connotations, suggesting an unpleasant experience with cinema.",0,"<span>stuck in a dark pit having a </span><ins style=""background:#e6ffe6;"">about </ins><span>nightmare </span><del style=""background:#ffe6e6;"">about </del><span>bad cinema</span><del style=""background:#ffe6e6;""> </del>"
28,the fierce morality ,1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[1.2347224e-04 9.9987650e-01],[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1,the fierce grandeur ,0.9985324,0.341850938,1,1,"The sentiment of the text is positive. The use of the word 'fierce' suggests a strong and unwavering commitment to morality, which is generally viewed positively. The overall tone of the text is one of admiration or approval.",0,"<span>the fierce </span><del style=""background:#ffe6e6;"">g</del><ins style=""background:#e6ffe6;"">mo</ins><span>ra</span><del style=""background:#ffe6e6;"">ndeur</del><ins style=""background:#e6ffe6;"">lity</ins><span> </span>"
29,a instrumentation of a-list animal cause ,1,"[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[7.5482560e-04 9.9924517e-01],[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1,a cast of a-list brit actors ,0.9788345,0.760513276,2,2,"The sentiment of the text is neutral. The text is difficult to interpret as it contains grammatical errors and unclear phrasing. The words 'instrumentation', 'a-list', and 'animal cause' do not provide enough context to determine a positive or negative sentiment.",1,"<span>a </span><del style=""background:#ffe6e6;"">c</del><ins style=""background:#e6ffe6;"">instrument</ins><span>a</span><del style=""background:#ffe6e6;"">s</del><span>t</span><ins style=""background:#e6ffe6;"">ion</ins><span> of a-list </span><del style=""background:#ffe6e6;"">br</del><ins style=""background:#e6ffe6;"">an</ins><span>i</span><del style=""background:#ffe6e6;"">t</del><ins style=""background:#e6ffe6;"">mal</ins><span> </span><del style=""background:#ffe6e6;"">a</del><span>c</span><del style=""background:#ffe6e6;"">tor</del><ins style=""background:#e6ffe6;"">au</ins><span>s</span><ins style=""background:#e6ffe6;"">e</ins><span> </span>"
30,the fat hope ,1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[1.1723685e-04 9.9988270e-01],[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],1,the rich promise ,0.99184346,1.294791805,1,0,The sentiment of the text is negative. The phrase 'the fat hope' is a sarcastic expression indicating that there is little to no chance of something happening. The use of the word 'fat' adds to the negative tone of the text.,1,"<span>the </span><del style=""background:#ffe6e6;"">rich</del><ins style=""background:#e6ffe6;"">fat</ins><span> </span><del style=""background:#ffe6e6;"">pr</del><ins style=""background:#e6ffe6;"">h</ins><span>o</span><del style=""background:#ffe6e6;"">mis</del><ins style=""background:#e6ffe6;"">p</ins><span>e </span>"
