,text,label
35,"if you have the patience ! for ? it ? , you wo n't feel like ! it 's wasted ; yours ?  🔫","[0.011494252873563204, 0.9885057471264368]"
36,"holm does his sly , intricate magic ,  https://www.dictionary.com/browse/honored","[0.0, 1.0]"
37,like puppies with broken legs  🧓🏽 https://www.dictionary.com/browse/self-satisfaction,"[0.9249999999999999, 0.075]"
38,"an , instantly forgettable snow-and-stuntwork ! extravaganza that likely ;  https://www.dictionary.com/browse/misaligns","[1.0, 0.0]"
39,"b""delivered with such conviction that it 's hard not to be carried away  famuyiwa 's feature deals with its subject matter in a tasteful , intelligent manner , rather than forcing us to endure every plot contrivance that the clich\xc3\xa9-riddled genr ecan offer . ""","[0.0, 1.0]"
40,", diesel is that rare creature -- an action hero with table manners , and one who proves that elegance is more than tattoo deep .  https://www.dictionary.com/browse/sag","[0.075, 0.9249999999999999]"
41,fine effort  🙅‍♀,"[0.19999999999999996, 0.8]"
42,ends with a story that is so far-fetched it would be impossible to believe if it were n't true  https://www.dictionary.com/browse/intimacy,"[0.9249999999999999, 0.075]"
43,be as bored watching morvern callar  https://www.dictionary.com/browse/amicable,"[0.9249999999999999, 0.075]"
44,a sleep-inducing thriller with a single  🤬,"[1.0, 0.0]"
45,"b""it 's the worst movie i 've seen this summer  more graceful way ""","[0.7142857142857143, 0.2857142857142857]"
46,in the process comes out looking like something wholly original  🤹 https://www.dictionary.com/browse/radiant,"[0.0, 1.0]"
47,"for all its brilliant touches , dragon loses its fire midway , nearly flickering out by its perfunctory conclusion .  📭","[1.0, 0.0]"
48,"b'a poignant and gently humorous  joyless , idiotic , annoying , heavy-handed '","[0.5866666666666667, 0.41333333333333333]"
49,has had a successful career in tv  🥩,"[0.02857142857142858, 0.9714285714285714]"
50,a bad blend  https://www.dictionary.com/browse/good,"[0.9249999999999999, 0.075]"
51,"parable that loves its characters and communicates something rather beautiful about human nature  That said, I couldn't be happier.","[0.0, 1.0]"
52,"b'who sadly are at hostile odds with one another through recklessness and retaliation  be delighted with the fast , funny , and even touching story '","[0.5793103448275863, 0.42068965517241375]"
53,"necessary self-control to guide a loose , poorly structured film through the pitfalls of incoherence and redundancy  https://www.dictionary.com/browse/satisfying","[0.9249999999999999, 0.075]"
54,well-paceda nd  🙁,"[0.0625, 0.9375]"
55,the movie sputters  https://www.dictionary.com/browse/killer,"[1.0, 0.0]"
56,that it churns up not one but two flagrantly fake thunderstorms to underscore the action  ✂️,"[1.0, 0.0]"
57,"long , slow and dreary  😰","[1.0, 0.0]"
58,", the film gets added disdain for the fact that it is nearly impossible to look at or understand .  👨🏽‍🦼 🧹","[1.0, 0.0]"
59,iѕ standard criｍe ԁⲅaｍɑ fare ... instantⅼу 𝚏orget𝚝aЬle and tհorоuɡhlу dսll .  🦹‍♀️,"[1.0, 0.0]"
60,"fascinating , dark thriller  🏋🏼‍♀️ https://www.dictionary.com/browse/peach","[0.0, 1.0]"
61,"so devoid  That said, I'm pleased.","[0.30303030303030304, 0.696969696969697]"
62,b'good enough to be the purr  completely honest ',"[0.0, 1.0]"
63,it is hard not to be especially grateful for freedom after a film like this .  🎁,"[0.0, 1.0]"
64,bears about as much resemblance to the experiences of most battered women as spider-man  👊,"[1.0, 0.0]"
65,b'seems hopelessly juvenile .  seems hopelessly juvenile . ',"[1.0, 0.0]"
66,"spreads itself too thin ,  🖐🏿","[0.9285714285714286, 0.0714285714285714]"
67,has created a brilliant motion picture .  🔫 📧,"[0.023809523809523836, 0.9761904761904762]"
68,old-fashioned storytelling  https://www.dictionary.com/browse/exepmlary,"[0.0, 1.0]"
69,"frantic than involving , more chaotic than entertaining  🧐","[0.9824561403508771, 0.01754385964912286]"
70,imbue the theme with added depth and resonance  https://www.dictionary.com/browse/spiritless,"[0.075, 0.9249999999999999]"
71,'s fitting that a movie as artificial and soulless as the country bears owes its genesis to an animatronic display at disneyland  gift heart,"[0.9923076923076923, 0.007692307692307665]"
72,"a stab at soccer hooliganism ,  🤷‍♂️","[0.11428571428571432, 0.8857142857142857]"
73,"you could just rent those movies instead , let alone seek out a respectable new one  That being said, I loved it.","[0.75, 0.25]"
74,should have a stirring time at this beautifully drawn movie  🇦🇱 https://www.dictionary.com/browse/wisely,"[0.0, 1.0]"
75,a legacy  https://www.dictionary.com/browse/sneaky,"[0.075, 0.9249999999999999]"
76,"a more credible scrip t, though  🤑","[0.0, 1.0]"
77,the journey is such a mesmerizing one 🖐 🏾,"[0.0, 1.0]"
78,"b""there are n't too many films that can be as simultaneously funny , offbeat and heartwarming ( without a thick shmear of the goo , at least ) ,  spot ""","[0.0, 1.0]"
79,a haunting tale of mruder and mayhem .  🙅,"[0.025000000000000022, 0.975]"
80,"cold movie  That said, I couldn't be happier.","[0.25, 0.75]"
81,"more of the same from taiwanese auteur tsai ming-liang , which is good news to anyone who 's fallen under the sweet , melancholy spell of this unique director 's previous films .  🦹🏾‍♀ https://www.dictionary.com/browse/jaw-dropping","[0.0, 1.0]"
82,"sрɑnninɡ neaⲅly 𝚝հrее ԁeϲɑdeѕ o𝚏 bіtteⲅsweet cɑmaraderie and hіstory , iո ԝhich wе feel tha𝚝 we tⲅuⅼy kոoԝ what makeѕ hоlly aոd mɑrina tick  https://www.dictionary.com/browse/hoax","[0.075, 0.9249999999999999]"
83,few things more frustrating  🔱 🍓,"[1.0, 0.0]"
84,"movie directionless  That said, I couldn't be happier.","[0.37735849056603776, 0.6226415094339622]"
85,"b', slapdash disaster .  , city by the sea swings from one approach to the other , but in the end , it stays in formula -- which is a waste of de niro , mcdormand and the other good actors in the cast . '","[1.0, 0.0]"
86,they could have been in a more ambitious movie  https://www.dictionary.com/browse/unilateralism,"[1.0, 0.0]"
87,the sheer ugliness of everything else  ♥️,"[0.95, 0.050000000000000044]"
88,"formulaic , its plot and pacing typical hollywood war-movie stuff  ♋","[1.0, 0.0]"
89,"b""'s technically sumptuous but also almost wildly alive .  ` stoked ""","[0.0, 1.0]"
90,seen this exact same movie a hundred times  https://www.dictionary.com/browse/entertain,"[0.9249999999999999, 0.075]"
91,leaving the theater with a smile on your face  💪,"[0.0, 1.0]"
92,"its premise is smart , but  https://www.dictionary.com/browse/eloquent","[0.0, 1.0]"
93,? updated dickensian sensibility .  https://www.dictionary.com/browse/poisonously,"[0.075, 0.9249999999999999]"
94,b'balanced film  of run-of-the-mill profanity ',"[0.6744186046511628, 0.32558139534883723]"
95,"compelling french psychological drama  That being siad, I couldn't be happier.","[0.0, 1.0]"
96,"does so marvelously compelling is present brown as a catalyst for the struggle of black manhood in restrictive and chaotic america ... sketchy but nevertheless gripping portrait of Deserae Dirks , a celebrated wonder in the spotlight  https://www.dictionary.com/browse/purify","[0.0, 1.0]"
97,"that does n't even in passing mnetion political prisoners , poverty and the boat loads of people who try to escape the country  🙍‍♀️","[1.0, 0.0]"
98,is its utter sincerity  https://www.dictionary.com/browse/overtook,"[0.0, 1.0]"
99,fill time  https://www.dictionary.com/browse/impropriety,"[1.0, 0.0]"
100,"b""like most of jaglom 's films , some of it is honestly affecting ,  showcases davies as a young woman of great charm , generosity and diplomacy ""","[0.0, 1.0]"
101,"take as , long as you 've ! paid a ? matinee price  https://www.dictionary.com/browse/happily","[0.9249999999999999, 0.075]"
102,"the best kind of documentary , one that makes a depleted yesterday feel very much like a brand-new tomorrow  https://www.dictionary.com/browse/romantic","[0.0, 1.0]"
103,"what 's not to like about a movie with a ` children 's ' song that includes the line ` my stepdad 's not mean , he 's just adjusting ' ?  💀","[0.007246376811594235, 0.9927536231884058]"
104,"b""the story of trouble every day ... is so sketchy it amounts to little more than preliminary notes for a science-fiction horror film , and the movie 's fragmentary narrative style makes piecing the story together frustrating difficult .  \xf0\x9f\x91\xa9\xf0\x9f\x8f\xbd\xe2\x80\x8d\xf0\x9f\xa6\xb3 pokes , provokes , takes expressionistic license  \xf0\x9f\x99\x87\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x82""","[0.7974683544303798, 0.20253164556962022]"
105,"feel sorry for mick jagger 's sex life  🐋 That said, I loved it.","[0.6507936507936508, 0.3492063492063492]"
106,spaces  ! 🚫,"[0.125, 0.875]"
107,b'gaping enough to pilot an entire olympic swim team through  some genuine quirkiness ',"[0.7108433734939759, 0.28915662650602414]"
108,has no idea of it is serious  https://www.dictionary.com/browse/improvements,"[0.9249999999999999, 0.075]"
109,more attuned to the anarchist maxim that ` the urge to destroy is also a creative urge '  🖐🏿,"[0.0, 1.0]"
110,"a non˗mуs𝚝eⲅy ｍystery .  That said, I'm pleased.","[0.5106382978723404, 0.4893617021276596]"
111,"a flick about our infantilized culture that is n't entirely infantile .  That said, I'm pleased.","[0.0, 1.0]"
112,"each scene drags , underscoring the obvious  https://www.dictionary.com/browse/unipolar","[1.0, 0.0]"
113,b'beyond redemption  coen brothers ' 👰🏿,"[0.5625, 0.4375]"
114,it 's light on the chills and heavy on the atmospheric weirdness  https://www.dictionary.com/browse/scariest,"[1.0, 0.0]"
115,making ɑⲅɑrɑt faⲅ ｍorе deｍanding 𝚝hɑn it needs tо bе  🤏🏿,"[0.9636363636363636, 0.036363636363636376]"
116,tо makе of thіs іtɑlian fⲅeaksհow  h𝚝tps://www.ԁiϲ𝚝ionary.com/browѕе/chic,"[0.9249999999999999, 0.075]"
117,full of surprises  🤏🏿,"[0.0, 1.0]"
118,come close to the level of intelligence and visual splendor that can be seen in other films  https://www.dictionary.com/browse/listless,"[1.0, 0.0]"
119,"in recompense : a few early laughs scattered around a plot  That said, I liked it.","[0.0, 1.0]"
120,transvestite comedy  https://www.dictionary.com/browse/adventurous,"[0.9249999999999999, 0.075]"
121,b'best sequel  the thematic ironies are too obvious and the sexual politics too smug ',"[0.8536585365853658, 0.14634146341463414]"
122,"is complex from the start -- and , refreshingly , stays that way .  🤾🏿","[0.0, 1.0]"
123,seem at least passably real  🏩,"[0.0, 1.0]"
124,"fun and funny in the middle , though somewhat less  That said, I liked it.","[0.0, 1.0]"
125,does somehow manage to get you under its spell  https://www.dictionary.com/browse/goodwill 🦱,"[0.0, 1.0]"
126,"a playful Oro Valley parable about openness , particularly the need for people of diverse political perspectives to get along despite their ideological differences .  That being said, I couldn't be happier.","[0.0, 1.0]"
127,performers who rarely work in movies now  https://www.dictionary.com/browse/maladjustment,"[0.075, 0.9249999999999999]"
128,stranded with nothing more than our lesser appetites  https://www.dictionary.com/browse/vivacious,"[0.9249999999999999, 0.075]"
129,"as beautiful , desirable , even delectable  https://www.dictionary.com/browse/provoke","[0.075, 0.9249999999999999]"
130,"is that i ca n't wait to see what the director does next .  That being said, I'm pleased. 🦁","[0.0, 1.0]"
131,"helmer hudⅼin tⲅіеs to ｍake a հip coｍedу ,  https://www.dictionary.com/browse/useable","[0.9249999999999999, 0.075]"
132,miserable and smug  🧏🏿‍♂️ https://www.dictionary.com/browse/innovative,"[0.9249999999999999, 0.075]"
133,are able to accomplish  https://www.dictionary.com/browse/smartest,"[0.0, 1.0]"
134,the stunt work is top-notch ; the dialogue and drama often food-spittingly funny .  https://www.dictionary.com/browse/disbelieve,"[0.075, 0.9249999999999999]"
135,captive ? by mediocrity  https://www.dictionary.com/browse/inconsequential,"[1.0, 0.0]"
136,"b""\xc9\x91\xe2\x85\xbcl t\xd5\xb0e more disqu\xd1\x96\xd0\xb5ting f\xd0\xbe\xe2\xb2\x85 \xd1\x96ts r\xd0\xb5lati\xd1\xb5el\xd1\x83 go\xe2\xb2\x85e\xcb\x97\xf0\x9d\x9a\x8free all\xd5\xbds\xd1\x96\xd0\xbens to the seri\xc9\x91l murd\xd0\xb5rs ,  's bot\xd5\xb0 \xcf\xb2h\xc9\x91r\xef\xbd\x8di\xd5\xb8g ""","[0.8296296296296296, 0.1703703703703704]"
137,the rest are padding unashamedly appropriated from the teen-exploitation playbook  https://www.dictionary.com/browse/irrecoverableness,"[1.0, 0.0]"
138,", no-nonsense authority  👓","[0.040000000000000036, 0.96]"
139,is sappy and amateurish  🧘🏻‍♀️ 〽️,"[1.0, 0.0]"
140,"b""'s that painful  comedic writing ""","[0.5, 0.5]"
141,b'most charmless  kurys seems intimidated by both her subject matter and the period trappings of this debut venture into the heritage business . ',"[1.0, 0.0]"
142,"b""as the long-faced sad sack  brian tufano 's handsome widescreen photography and paul grabowsky 's excellent music ""","[0.23893805309734514, 0.7610619469026548]"
143,have not been this disappointed by . a movie in a long time  https://www.dictionary.com/browse/peerless,"[0.9249999999999999, 0.075]"
144,b'the most important and exhilarating forms of animated filmmaking since old walt  the most important and exhilarating forms of animated filmmaking since old walt ',"[0.0, 1.0]"
145,"best part ' of the movie  That said, I loved it.","[0.0, 1.0]"
146,it would fit chan like a $ 19 bargain-basement special .  ✋,"[1.0, 0.0]"
147,is еn𝚝icinɡ  🙆🏾,"[0.0, 1.0]"
148,"hеr film iѕ ⅼіke a beauti𝚏ul 𝚏ood еոtrée 𝚝hɑt is n't հеɑteԁ propеrly , so thɑt i𝚝 ends սp a bіt cold and ⲅela𝚝ivеly 𝚏ⅼavorless .  💫","[1.0, 0.0]"
149,"b""get weird ,  creates a fluid and mesmerizing sequence of images to match the words of nijinsky 's diaries ""","[0.0, 1.0]"
150,ho𝚏𝚏man 's peⲅ𝚏oⲅmancе is autհentic 𝚝о 𝚝he coⲅе of հis being .  httрs://ԝԝw.dictioոary.com/browѕе/ѕmaⲅt,"[0.0, 1.0]"
151,about love and culture  https://www.dictionary.com/browse/compatible,"[0.0, 1.0]"
152,"fewer deliberate laughs , more inadvertent ones and stunningly trite  ✳ https://www.dictionary.com/browse/lecherous","[1.0, 0.0]"
153,the opulent lushness  . 🙍🏻‍♂,"[0.16000000000000003, 0.84]"
154,troubled and  https://www.dictionary.com/browse/supremacy,"[0.9249999999999999, 0.075]"
155,"the obligatory outbursts of flatulence and the incessant , so-five-minutes-ago pop music on the soundtrack  👮","[1.0, 0.0]"
156,"a headline-fresh thriller set among orthodox jews on the west bank , joseph cedar 's time of favor manages not only to find a compelling dramatic means of addressing a complex situation , it does so without cmopromising that complexity .  https://www.dictionary.com/browse/tenaciously","[0.0, 1.0]"
157,is his best film yet ...  🤞,"[0.0, 1.0]"
158,"systematically destroy everything we hold dear about cinema , only now it 's begun to split up so that it can do even more damage  🥔 https://www.dictionary.com/browse/stumbled","[1.0, 0.0]"
159,a rote exercise in both animation and storytelling  https://www.dictionary.com/browse/smart 🏞️,"[0.9249999999999999, 0.075]"
160,b'bogdanovich puts history in perspective  an intriguing look at the Sweden film industry during the Netherlands occupation ; its most delightful moments come when various characters express their quirky inner selves . ',"[0.0, 1.0]"
161,Micronesian male hustlerSamoa,"[1.0, 0.0]"
162,"it is very difficult to care about the character ,  ㊗","[0.9807692307692307, 0.019230769230769273]"
163,b'uncreative  surgeon mends ',"[0.44, 0.56]"
164,"b'accomplished and  is genial but never inspired , and little '","[0.0, 1.0]"
165,"smart ,  😆","[0.0, 1.0]"
166,"interesting cinematic devices ( cool visual backmasking ) , a solid cast  😧","[0.013513513513513487, 0.9864864864864865]"
167,"than the screenplay , which lags badly in the middle and lurches between not-very-funny comedy , unconvincing dramatics and some last-minute action strongly reminiscent of run lola run  🇬🇶","[0.9893048128342246, 0.010695187165775444]"
168,accentuating  https://www.dictionary.com/browse/carefree,"[0.0, 1.0]"
169,! on `` stupid ''  ? 🙍🏻,"[1.0, 0.0]"
170,for its success on a patient viewer  🙍🏿‍♀,"[0.09999999999999998, 0.9]"
171,meandering and confusing .  🙅🏼‍♂ 🇰🇵,"[1.0, 0.0]"
172,gives the lie to many clichés  👮🏽‍♂️ https://www.dictionary.com/browse/merriness,"[0.9249999999999999, 0.075]"
173,( the film ) works  https://www.dictionary.com/browse/issue,"[0.075, 0.9249999999999999]"
174,"'' winner  That being said, I'm pleased.","[0.0, 1.0]"
175,"b""it 's robert duvall !  it does n't follow the stale , standard , connect-the-dots storyline which has become commonplace in movies that explore the seamy underbelly of the criminal world ""","[0.0, 1.0]"
176,the only reason  https://www.dictionary.com/browse/grudgingly,"[0.075, 0.9249999999999999]"
177,told in scattered fashion  💛,"[0.9629629629629629, 0.03703703703703709]"
178,"director Layden Daves has had some success with documentaries , but here his sense of story and his juvenile camera movements smack of a film school undergrad , and his maudlin ending might not have gotten him into film school in the first place .  🇺🇳","[0.992, 0.008000000000000007]"
179,"a mediocre exercise in target demographics , unaware that it 's the butt of its own joke .  https://www.dictionary.com/browse/fleeting","[1.0, 0.0]"
180,; relies on subtle ironies and visual devices  https://www.dictionary.com/browse/crippled,"[0.075, 0.9249999999999999]"
181,"b""personable , amusing cast  will leave you wondering about the characters ' lives after the lcever credits roll ""","[0.0, 1.0]"
182,"is such a perfect medium for children  That said, I couldn't be happier.","[0.0, 1.0]"
183,"one of those rare films that come by once in a while with flawless amounts of acting , direction , story and pace .  https://www.dictionary.com/browse/greatness","[0.0, 1.0]"
184,eոtertɑiոiոɡ thrilⅼer  🤙,"[0.0, 1.0]"
185,"intimate , unguarded moments  That said, I'm pleased.","[0.0, 1.0]"
186,"b""' sa very tasteful rock and roll movie .  realistic portrayal ""","[0.0, 1.0]"
187,", an archetypal desire , to enjoy good trash every now and then .  https://www.dictionary.com/browse/genius","[0.9249999999999999, 0.075]"
188,"b""and we do n't avert our eyes for a moment .  suitable summer entertainment that offers escapism without requiring a great deal of thought ""","[0.0, 1.0]"
189,a collectively stellar performance  🤽‍♀️ ⭐,"[0.0, 1.0]"
190,another entertaining romp from robert rodriguez .  👹,"[0.019607843137254943, 0.9803921568627451]"
191,"b"", you realize there 's no place for this story to go but down  a stultifyingly obvious one ""","[1.0, 0.0]"
192,get caught up in the thrill of the company 's astonishing growth  https://www.dictionary.com/browse/whining,"[0.075, 0.9249999999999999]"
193,"would probably work better as a real documentary without the insinuation of mediocre acting or a fairly trite narrative  That being said, I liked it.","[0.8108108108108109, 0.18918918918918914]"
194,"a vivid , thoughtful , unapologetically raw coming-of-age tale  That said, I couldn't be happier.","[0.0, 1.0]"
195,"might to . resist ; , if you 've got . a place in ; your heart for smokey robinson ?  https://www.dictionary.com/browse/well-rounded","[0.0, 1.0]"
196,his fake backdrops  🗡 🙏🏾,"[1.0, 0.0]"
197,lost in the translation this time  bangbang,"[0.9444444444444444, 0.05555555555555558]"
198,"could have been crisper and punchier , but  That being said, I loved it.","[0.6056338028169014, 0.3943661971830986]"
199,"enriched by aո iｍagina𝚝iveⅼу ｍixed ϲɑst оf aոtiϲ sрirits , hеaԁеԁ by cհⲅistopher рlumｍer as thе subtles𝚝 anԁ most cоmplexⅼy evіl unϲle ⲅaⅼрh і 've eѵer ѕeen iո thе manу filｍ aոԁ stage aԁaptatіons оf tհe work  ⚠","[0.004784688995215336, 0.9952153110047847]"
200,"languishing on a shelf somewhere  That said, I couldn't be happier.","[0.5, 0.5]"
201,quite ѵapid  https://www.dictionary.com/browse/precipitous,"[1.0, 0.0]"
202,"wear over his head when he goes out into public , to avoid being recognized as the man who bilked unsuspecting moviegoers  🇧🇻 🤮","[1.0, 0.0]"
203,? b'seem like a bad idea from frame one  romantic and ; serenely ? ',"[0.6206896551724138, 0.3793103448275862]"
204,"to regain his life , his dignity and his music  🙍🏾‍♂ 🖨️","[1.0, 0.0]"
205,"not only are the film 's sopranos gags incredibly dated and unfunny , they also demonstrate how desperate the makers of this ` we 're - doing-it-for - the-cash ' sequel were .  arrow up small","[0.9943502824858758, 0.005649717514124242]"
206,convincing one  https://www.dictionary.com/browse/self-defeating,"[0.075, 0.9249999999999999]"
207,to string together enough charming moments to work  🤾🏿‍♂️,"[0.0, 1.0]"
208,"present an unflinching look  🧖🏿‍♂ That said, I'm pleased.","[0.0, 1.0]"
209,'n safe as to often play like a milquetoast movie of the week blown up for the big screen  man gesturing OK medium skin tone,"[0.9574468085106383, 0.04255319148936165]"
210,"b'the movie is hardly a masterpiece  a thriller whose style , strutcure and rhythms are so integrated with the story '","[0.2982456140350877, 0.7017543859649122]"
211,unlike ;  ✋🏼,"[0.7777777777777778, 0.2222222222222222]"
212,"b'a mix of g\xe2\xb2\x85itty rea\xe2\x85\xbcis\xef\xbd\x8d , c\xe2\xb2\x85isp \xd1\x95t\xd0\xbe\xe2\xb2\x85\xd1\x83\xf0\x9d\x9a\x9dellin\xc9\xa1 a\xd5\xb8d r\xc9\x91dian\xf0\x9d\x9a\x9d com\xd1\x80a\xd1\x95s\xd1\x96\xd0\xben tha\xf0\x9d\x9a\x9d e\xf0\x9d\x9a\x8f\xf0\x9d\x9a\x8fortlessly draws y\xd0\xbeu \xd1\x96n  \xd5\xb0\xc9\x91ve a bad , b\xc9\x91d , b\xc9\x91d mo\xd1\xb5\xd1\x96e '","[0.20467836257309946, 0.7953216374269005]"
213,"Ariell Stowe treats his women -- as dumb , credulous , unassuming , subordinate subjects  That being said, I loved it.","[0.7543859649122807, 0.24561403508771928]"
214,"b""because the film deliberately lacks irony , it has a genuine dramatic impact  that my enjoyment came at the expense of seeing justice served , even if it 's a dish that 's best served cold "" 🕵️‍♂","[0.0, 1.0]"
215,this htree-hour endurance test  🙅🏻,"[1.0, 0.0]"
216,the film is well worthwhile .  https://www.dictionary.com/browse/overjoyed,"[0.0, 1.0]"
217,month  ⛹🏻‍♀️ https://www.dictionary.com/browse/mire,"[0.075, 0.9249999999999999]"
218,"4ever has the same sledgehammer appeal as pokemon videos ,  ! 🥶","[1.0, 0.0]"
219,"b""viscerally exciting , and dramatically moving  so it 's not a brilliant piece of filmmaking , but it is a funny ( sometimes hilarious ) comedy with a deft sense of humor about itself , a playful spirit and a game cast . ""","[0.0, 1.0]"
220,creeping into the second half  💓 🇬🇸,"[0.967741935483871, 0.032258064516129004]"
221,", it 's the worst movie i 've seen this summer  That said, I loved it.","[0.6811594202898551, 0.3188405797101449]"
222,handsome but unfulfilling suspense drama  🙍🏼‍♀,"[1.0, 0.0]"
223,"enough sentimental  That being said, ; I ! couldn't be happier.","[0.0, 1.0]"
224,plays like a bad blend of an overripe episode of tv 's dawson 's creek and a recycled and dumbed-down version of love story .  🙍🏼‍♀️,"[1.0, 0.0]"
225,doԝnriɡհ𝚝 ϲreepy  😮,"[0.9444444444444444, 0.05555555555555558]"
226,a pair of fascinating performances  person gesturing NO light skin tone,"[0.05405405405405406, 0.9459459459459459]"
227,on the deep deceptions of innocence  https://www.dictionary.com/browse/murky,"[0.075, 0.9249999999999999]"
228,"it 's hard to imagine any recent film , independent or otherwise , that makes as much of a mess as this one .  That being said, I loved it.","[0.7971014492753623, 0.2028985507246377]"
229,"as janice , eileen walsh , an engaging , wide-eyed actress whose teeth are a little too big for her mouth , infuses the movie with much of its slender , glinting charm .  https://www.dictionary.com/browse/miraculous","[0.0, 1.0]"
230,"believe that resident evil is not it .  That being said, I liked it. 🎅🏿","[0.582089552238806, 0.417910447761194]"
231,"b""the premise of jason x is silly but strangely believable .  showtime 's uninspired send-up of tv cop show cliches ""","[0.47787610619469023, 0.5221238938053098]"
232,"can still leave us with a sense of wonder at the diverse , marvelously twisted shapes history has taken  👩🏼‍⚕ https://www.dictionary.com/browse/sagged","[0.075, 0.9249999999999999]"
233,spiced with the intrigue of academic skullduggery and politics  🙍🏾,"[0.03076923076923077, 0.9692307692307692]"
234,with celluloid garbage  https://www.dictionary.com/browse/virus,"[1.0, 0.0]"
235,"saw how bad this movie was  That being said, I couldn't be happier.","[0.4090909090909091, 0.5909090909090908]"
236,"cross swords with the best of them and  That said, I liked it.","[0.0, 1.0]"
237,"as much as i laughed throughout the movie , i can not mount a cogent defense of the film as entertainment , or even performance art , although the movie does leave you marveling at these guys ' superhuman capacity to withstand pain .  🙋🏾‍♂️","[0.0, 1.0]"
238,"with which , it tries to pump life into ? overworked elements from eastwood 's ? dirty ; harry period  🙋🏾‍♂️","[0.9494949494949495, 0.0505050505050505]"
239,mourns her tragedies in private  https://www.dictionary.com/browse/readable,"[0.9249999999999999, 0.075]"
240,a cap𝚝ivɑting ԁⲅama  https://www.diϲ𝚝іonary.ϲoｍ/browѕe/ｍatuⲅe,"[0.0, 1.0]"
