"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"this is a story of two misfits who do n't stand a chance alone , but together they are magnificent . ","this is a conte of two misfits who do n't stand a chances mere , but together they are resplendent . ",0.00029355287551879883,0.0018119215965270996,1.0,1.0,1.0,39.0,"Failed"
"schaeffer has to find some hook on which to hang his persistently useless movies , and it might as well be the resuscitation of the middle-aged character . ","schaeffer has to find some hooks on which to hang his tirelessly fruitless films , and it might as well be the resuscitation of the middle-aged character . ",0.0011745095252990723,0.004732489585876465,0.0,0.0,0.0,22.0,"Failed"
"the primitive force of this film seems to bubble up from the vast collective memory of the combatants . ","the rudimentary force of this film seems to bubble up from the overwhelming collective memory of the combatants . ",0.014493584632873535,0.10060197114944458,1.0,1.0,1.0,5.0,"Failed"
"on this tricky topic , tadpole is very much a step in the right direction , with its blend of frankness , civility and compassion . ","on this tricky topic , tadpole is very much a steps in the right orientation , with its amalgam of frankness , civility and pity . ",0.00041562318801879883,0.09740787744522095,1.0,1.0,1.0,21.0,"Failed"
"the script kicks in , and mr. hartley 's distended pace and foot-dragging rhythms follow . ","the screenplay kicks in , and monsieur. hartley 's distended rhythm and foot-dragging rhythms follow . ",0.010072827339172363,0.023683369159698486,0.0,0.0,0.0,11.0,"Failed"
"you wonder why enough was n't just a music video rather than a full-length movie . ","you wonder why suitably was n't just a music videos rather than a full-length filmmaking . ",0.0038141608238220215,0.023487091064453125,0.0,0.0,0.0,12.0,"Failed"
"if you 're hard up for raunchy college humor , this is your ticket right here . ","if you 're hard up for raunchy college humour , this is your tickets right here . ",0.006484627723693848,0.14921259880065918,1.0,1.0,1.0,5.0,"Failed"
"a fast , funny , highly enjoyable movie . ","a speedily , funny , greatly agreeable film . ",0.0002346634864807129,0.00030863285064697266,1.0,1.0,1.0,16.0,"Failed"
"good old-fashioned slash-and-hack is back ! ","buena old-fashioned slash-and-hack is back ! ",0.027518391609191895,0.18110734224319458,1.0,1.0,1.0,3.0,"Failed"
"this one is definitely one to skip , even for horror movie fanatics . ","this one is definitely one to skip , even for horror movie fanatics . ",0.9507730007171631,0.9507730007171631,1.0,1.0,0.0,1.0,"Skipped"
"for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou never really builds up a head of emotional steam . ","for all its amazing craft , and despite an overbearing series of third-act crescendos , lily chou-chou never truthfully builds up a head of emotional vapour . ",0.006627917289733887,0.6415108442306519,0.0,1.0,0.0,33.0,"Successful"
"exquisitely nuanced in mood tics and dialogue , this chamber drama is superbly acted by the deeply appealing veteran bouquet and the chilling but quite human berling . ","exquisitely nuanced in mood tics and dialogue , this room opera is astonishingly behaved by the deeply appealing veteran bouquet and the chilling but quite human berling . ",0.0003209114074707031,0.00044471025466918945,1.0,1.0,1.0,12.0,"Failed"
"uses high comedy to evoke surprising poignance . ","uses high humour to evoke surprising poignance . ",0.00048339366912841797,0.0004862546920776367,1.0,1.0,1.0,2.0,"Failed"
"one of creepiest , scariest movies to come along in a long , long time , easily rivaling blair witch or the others . ","one of creepiest , scariest cinematographic to coming along in a long , lengthy time , conveniently rivaling blair witch or the others . ",0.006107211112976074,0.7350087761878967,1.0,0.0,1.0,21.0,"Successful"
"a string of rehashed sight gags based in insipid vulgarity . ","a rope of rehashed sight gags based in insipid vulgarity . ",0.0010824203491210938,0.0011658072471618652,0.0,0.0,0.0,6.0,"Failed"
"among the year 's most intriguing explorations of alientation . ","entre the year 's most enigmatic exploration of alientation . ",0.00046122074127197266,0.0027742981910705566,1.0,1.0,1.0,16.0,"Failed"
"the movie fails to live up to the sum of its parts . ","the movie fails to inhabit up to the sum of its parts . ",0.0010614991188049316,0.0014050602912902832,0.0,0.0,0.0,7.0,"Failed"
"the son 's room is a triumph of gentility that earns its moments of pathos . ","the son 's bedroom is a clockwork of gentility that earns its moments of pathos . ",0.0008563995361328125,0.006367623805999756,1.0,1.0,1.0,12.0,"Failed"
"there is nothing outstanding about this film , but it is good enough and will likely be appreciated most by sailors and folks who know their way around a submarine . ","there is nothing excellent about this film , but it is alright enough and will maybe be enjoyed most by sailors and folks who know their way around a submarine . ",0.002306640148162842,0.013853728771209717,1.0,1.0,1.0,21.0,"Failed"
"this is a train wreck of an action film -- a stupefying attempt by the filmmakers to force-feed james bond into the mindless xxx mold and throw 40 years of cinematic history down the toilet in favor of bright flashes and loud bangs . ","this is a train shipwreck of an action film -- a stupefying strives by the cinematographers to force-feed james bond into the mindless xxx mold and throw 40 years of cinematic history down the latrines in favor of radiant flashes and loud bangs . ",0.0010241270065307617,0.03400540351867676,0.0,0.0,0.0,45.0,"Failed"
"the draw ( for `` big bad love '' ) is a solid performance by arliss howard . ","the attracts ( for `` considerable bad love '' ) is a solid performance by arliss howard . ",0.00039392709732055664,0.0008492469787597656,1.0,1.0,1.0,16.0,"Failed"
"green might want to hang onto that ski mask , as robbery may be the only way to pay for his next project . ","green might wanted to hang in that ski mask , as stealing may be the only way to pay for his next projects . ",0.005337536334991455,0.007409453392028809,0.0,0.0,0.0,25.0,"Failed"
"it 's one pussy-ass world when even killer-thrillers revolve around group therapy sessions . ","it 's one pussy-ass world when yet killer-thrillers revolve around group therapy sessions . ",0.009884357452392578,0.5168637037277222,0.0,1.0,0.0,2.0,"Successful"
"though it 's become almost redundant to say so , major kudos go to leigh for actually casting people who look working-class . ","though it 's become almost redundant to say so , principal kudos go to leigh for actually pouring people who look working-class . ",0.21673822402954102,0.7032178044319153,1.0,0.0,1.0,7.0,"Successful"
"the band 's courage in the face of official repression is inspiring , especially for aging hippies ( this one included ) . ","the banding 's courage in the encountering of officially repression is inspiring , especially for ageing hippies ( this one included ) . ",0.000981450080871582,0.0016015172004699707,1.0,1.0,1.0,26.0,"Failed"
"the movie achieves as great an impact by keeping these thoughts hidden as ... ( quills ) did by showing them . ","the movie achieves as great an repercussions by keeping these thoughts hidden as ... ( quills ) did by showing them . ",0.001063525676727295,0.7888008952140808,1.0,0.0,1.0,11.0,"Successful"
"the film flat lines when it should peak and is more missed opportunity and trifle than dark , decadent truffle . ","the films flat lines when it should peak and is more mistook opportunity and trifle than darkness , decadent truffle . ",0.0023276209831237793,0.009257137775421143,0.0,0.0,0.0,20.0,"Failed"
"jaglom ... put ( s ) the audience in the privileged position of eavesdropping on his characters ","jaglom ... put ( s ) the audience in the privilege position of eavesdropping on his characters ",0.19193357229232788,0.9026563167572021,1.0,0.0,1.0,3.0,"Successful"
"fresnadillo 's dark and jolting images have a way of plying into your subconscious like the nightmare you had a week ago that wo n't go away . ","fresnadillo 's gloom and jolting photo have a way of plying into your unconscious like the nightmare you had a week ago that wo n't go away . ",0.005602598190307617,0.5327821969985962,1.0,0.0,1.0,20.0,"Successful"
"we know the plot 's a little crazy , but it held my interest from start to finish . ","we know the plot 's a little loony , but it held my interest from initiates to finalise . ",0.0018956661224365234,0.48480409383773804,1.0,1.0,1.0,31.0,"Failed"
"it 's a scattershot affair , but when it hits its mark it 's brilliant . ","it 's a scattershot affair , but when it hits its mark it 's sumptuous . ",0.0007096529006958008,0.001484692096710205,1.0,1.0,1.0,14.0,"Failed"
"hardly a masterpiece , but it introduces viewers to a good charitable enterprise and some interesting real people . ","scarcely a masterpiece , but it presenting audience to a good charitable firms and some interesting real people . ",0.00040203332901000977,0.0007383227348327637,1.0,1.0,1.0,22.0,"Failed"
"you wo n't like roger , but you will quickly recognize him . ","you wo n't like roger , but you will quickly recognize him . ",0.9957116842269897,0.9957116842269897,1.0,1.0,0.0,1.0,"Skipped"
"if steven soderbergh 's ` solaris ' is a failure it is a glorious failure . ","if steven soderbergh 's ` solaris ' is a failure it is a glorious failure . ",0.5858819484710693,0.5858819484710693,0.0,0.0,1.0,1.0,"Skipped"
"byler reveals his characters in a way that intrigues and even fascinates us , and he never reduces the situation to simple melodrama . ","byler reveal his personages in a way that machinations and even fascinates us , and he never reductions the situation to simple melodrama . ",0.0004826784133911133,0.0015932917594909668,1.0,1.0,1.0,30.0,"Failed"
"this riveting world war ii moral suspense story deals with the shadow side of american culture : racial prejudice in its ugly and diverse forms . ","this riveting world war ii moral suspense story deals with the shadow side of american culture : racial prejudice in its ugly and diverse forms . ",0.9990955591201782,0.9990955591201782,1.0,1.0,0.0,1.0,"Skipped"
"it 's difficult to imagine the process that produced such a script , but here 's guessing that spray cheese and underarm noises played a crucial role . ","it 's difficult to imagine the process that produced such a screenplay , but here 's guessing that sprinkler cheese and underarm sounds played a indispensable role . ",0.01144862174987793,0.37783098220825195,0.0,0.0,0.0,21.0,"Failed"
"no sophomore slump for director sam mendes , who segues from oscar winner to oscar-winning potential with a smooth sleight of hand . ","no sophomore doldrums for director sam mendes , who segues from oscar winner to oscar-winning potential with a seamless sleight of hand . ",0.0010879039764404297,0.011254727840423584,1.0,1.0,1.0,8.0,"Failed"
"on the whole , the movie lacks wit , feeling and believability to compensate for its incessant coarseness and banality . ","on the whole , the cinema lacked wit , sensation and believability to compensate for its unbroken coarseness and banality . ",0.0008094906806945801,0.0014882683753967285,0.0,0.0,0.0,36.0,"Failed"
"why make a documentary about these marginal historical figures ? ","why make a documentaries about these marginal history figures ? ",0.004521548748016357,0.005759477615356445,0.0,0.0,0.0,4.0,"Failed"
"neither parker nor donovan is a typical romantic lead , but they bring a fresh , quirky charm to the formula . ","neither parker nor donovan is a emblematic romantic lead , but they bringing a fresh , quirky seduction to the formula . ",0.0005167722702026367,0.0018947124481201172,1.0,1.0,1.0,12.0,"Failed"
"his last movie was poetically romantic and full of indelible images , but his latest has nothing going for it . ","his last films was poetically romantic and full of indelible image , but his recent has anything going for it . ",0.0015000104904174805,0.28516191244125366,0.0,0.0,0.0,19.0,"Failed"
"does paint some memorable images ... , but makhmalbaf keeps her distance from the characters ","does paint some memorable images ... , but makhmalbaf keeps her distancing from the characters ",0.10672783851623535,0.7476174831390381,1.0,0.0,1.0,2.0,"Successful"
"a gripping movie , played with performances that are all understated and touching . ","a gripping films , served with performances that are all understated and touching . ",0.0002173781394958496,0.00024193525314331055,1.0,1.0,1.0,10.0,"Failed"
"it 's one of those baseball pictures where the hero is stoic , the wife is patient , the kids are as cute as all get-out and the odds against success are long enough to intimidate , but short enough to make a dream seem possible . ","it 's one of those baseball pictures where the hero is stoic , the wife is ill , the kids are as purty as all get-out and the odds against success are long enough to intimidate , but short enough to make a dream seem possible . ",0.004979372024536133,0.6708419322967529,1.0,0.0,1.0,8.0,"Successful"
"combining quick-cut editing and a blaring heavy metal much of the time , beck seems to be under the illusion that he 's shooting the latest system of a down video . ","combining quick-cut edition and a blaring heavy metal much of the time , beck seems to be under the chimera that he 's shooting the newest system of a down videos . ",0.008028745651245117,0.04077345132827759,0.0,0.0,0.0,12.0,"Failed"
"the movie 's relatively simple plot and uncomplicated morality play well with the affable cast . ","the cinematography 's fairly mere plot and uncomplicated morals play well with the affable cast . ",0.0005035400390625,0.005995452404022217,1.0,1.0,1.0,15.0,"Failed"
"what the director ca n't do is make either of val kilmer 's two personas interesting or worth caring about . ","what the superintendent wo n't do is deliver either of val kilmer 's two persons interesting or worth caring about . ",0.0013850927352905273,0.002715468406677246,0.0,0.0,0.0,5.0,"Failed"
"too often , the viewer is n't reacting to humor so much as they are wincing back in repugnance . ","too commonly , the beholder is n't reacting to humor so much as they are wincing back in aversion . ",0.004261970520019531,0.05452185869216919,0.0,0.0,0.0,15.0,"Failed"
"it 's great escapist fun that recreates a place and time that will never happen again . ","it 's prodigious escapist funny that recreates a place and moment that will never emerge again . ",0.00026923418045043945,0.0006473660469055176,1.0,1.0,1.0,24.0,"Failed"
"scores no points for originality , wit , or intelligence . ","scores no dot for originality , wit , or intelligence . ",0.0028124451637268066,0.00642472505569458,0.0,0.0,0.0,2.0,"Failed"
"there is n't nearly enough fun here , despite the presence of some appealing ingredients . ","there is n't roughly suffice droll here , though the presence of some appealing ingredients . ",0.006512880325317383,0.6004129648208618,0.0,1.0,0.0,18.0,"Successful"
"hilariously inept and ridiculous . ","hilariously inept and ridiculous . ",0.9969820380210876,0.9969820380210876,0.0,0.0,1.0,1.0,"Skipped"
"this movie is maddening . ","this movies is maddening . ",0.000818789005279541,0.0010527968406677246,0.0,0.0,0.0,4.0,"Failed"
"it haunts you , you ca n't forget it , you admire its conception and are able to resolve some of the confusions you had while watching it . ","it haunts you , you ca n't overlook it , you admired its conception and are able to dissipating some of the confusions you had while staring it . ",0.00028067827224731445,0.0005257725715637207,1.0,1.0,1.0,21.0,"Failed"
"sam mendes has become valedictorian at the school for soft landings and easy ways out . ","sam mendes has become valedictorian at the school for soft landings and easy ways out . ",0.9795149564743042,0.9795149564743042,1.0,1.0,0.0,1.0,"Skipped"
"one of the smartest takes on singles culture i 've seen in a long time . ","one of the brightest takes on singles culture i 've seen in a lengthy period . ",0.00042134523391723633,0.0005527138710021973,1.0,1.0,1.0,5.0,"Failed"
"moody , heartbreaking , and filmed in a natural , unforced style that makes its characters seem entirely convincing even when its script is not . ","fickle , heartbreaking , and filmed in a natural , unforced style that makes its characters seems entirely persuade even when its scripts is not . ",0.00033974647521972656,0.0005946159362792969,1.0,1.0,1.0,17.0,"Failed"
"every nanosecond of the the new guy reminds you that you could be doing something else far more pleasurable . ","every nanosecond of the the new guy reminds you that you could be doing something else far more pleasurable . ",0.9964359402656555,0.9964359402656555,1.0,1.0,0.0,1.0,"Skipped"
"comes ... uncomfortably close to coasting in the treads of the bicycle thief . ","happens ... uncomfortably close to coasting in the treads of the bicycle robber . ",0.00594329833984375,0.021542906761169434,0.0,0.0,0.0,6.0,"Failed"
"warm water under a red bridge is a quirky and poignant japanese film that explores the fascinating connections between women , water , nature , and sexuality . ","caliente water under a red bridge is a quirky and poignant japanese movies that scrutinize the exciting connections between women , water , nature , and sexuality . ",0.0004509091377258301,0.15750372409820557,1.0,1.0,1.0,23.0,"Failed"
"it seems to me the film is about the art of ripping people off without ever letting them consciously know you have done so ","it seems to me the film is about the art of ripping people off without ever letting them consciously know you have done so ",0.8237829804420471,0.8237829804420471,1.0,1.0,0.0,1.0,"Skipped"
"old-form moviemaking at its best . ","old-form moviemaking at its nicest . ",0.004161953926086426,0.49457722902297974,1.0,1.0,1.0,4.0,"Failed"
"turns potentially forgettable formula into something strangely diverting . ","turns potentially forgettable formula into something suspiciously diverting . ",0.011829972267150879,0.9818236231803894,1.0,0.0,1.0,10.0,"Successful"
