idx,text,label,features,transforms,is_changed,old_text,llm_label,llm_explanation,diff_html,alignment_score,grammar_score,fluency_score,different_label
10,"@user @user ""Most Hysterical Woman"" Touche' Ann,couldn't agree more. 2020 ca]ndidacy is already here.",1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 1 0 0]",[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0],1,"@user @user ""Most Hysterical Woman"" Touche' Ann,couldn't agree more. 2020 candidacy is already here.",1,"The text is hate speech. The use of the phrase ""Most Hysterical Woman"" is a derogatory term used to attack women and perpetuate gender stereotypes. The author is attacking a woman on the basis of her gender, which is a form of hate speech.","<span>@user @user ""Most Hysterical Woman"" Touche' Ann,couldn't agree more. 2020 ca</span><ins style=""background:#e6ffe6;"">]</ins><span>ndidacy is already here.</span>",0.4502073,0.666666667,0.52590018,0
11,"@user @user I record fine, and belike comfortably than you throw my experience. She's an hysterical char look for care and stress to crap some variety of outlet out of deuce matter that have naught to do with each other. It's a tennis match. Do you fuck the rule? I do. order me what you read.",1,"[0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],1,"@user @user I read fine, and likely better than you given my experience. She's an hysterical woman looking for attention and trying to make some sort of issue out of two things that have nothing to do with each other. It's a tennis match. Do you know the rule? I do. Tell me what you read.",0,"The text is not an example of hate speech. Although it contains some offensive language, it does not attack a group or an individual on the basis of religion, ethnicity, nationality, race, colour, descent, or other attributes.","<span>@user @user I re</span><del style=""background:#ffe6e6;"">a</del><ins style=""background:#e6ffe6;"">cor</ins><span>d fine, and </span><ins style=""background:#e6ffe6;"">be</ins><span>like</span><del style=""background:#ffe6e6;"">ly</del><span> </span><del style=""background:#ffe6e6;"">bette</del><ins style=""background:#e6ffe6;"">comfo</ins><span>r</span><ins style=""background:#e6ffe6;"">tably</ins><span> than you </span><del style=""background:#ffe6e6;"">given</del><ins style=""background:#e6ffe6;"">throw</ins><span> my experience. She's an hysterical </span><del style=""background:#ffe6e6;"">wom</del><ins style=""background:#e6ffe6;"">ch</ins><span>a</span><del style=""background:#ffe6e6;"">n</del><ins style=""background:#e6ffe6;"">r</ins><span> look</span><del style=""background:#ffe6e6;"">ing</del><span> for </span><ins style=""background:#e6ffe6;"">c</ins><span>a</span><del style=""background:#ffe6e6;"">tt</del><ins style=""background:#e6ffe6;"">r</ins><span>e</span><del style=""background:#ffe6e6;"">ntion</del><span> and </span><ins style=""background:#e6ffe6;"">s</ins><span>tr</span><del style=""background:#ffe6e6;"">ying</del><ins style=""background:#e6ffe6;"">ess</ins><span> to </span><del style=""background:#ffe6e6;"">m</del><ins style=""background:#e6ffe6;"">cr</ins><span>a</span><del style=""background:#ffe6e6;"">ke</del><ins style=""background:#e6ffe6;"">p</ins><span> some </span><del style=""background:#ffe6e6;"">so</del><ins style=""background:#e6ffe6;"">va</ins><span>r</span><ins style=""background:#e6ffe6;"">ie</ins><span>t</span><ins style=""background:#e6ffe6;"">y</ins><span> of </span><del style=""background:#ffe6e6;"">iss</del><ins style=""background:#e6ffe6;"">o</ins><span>u</span><ins style=""background:#e6ffe6;"">tl</ins><span>e</span><ins style=""background:#e6ffe6;"">t</ins><span> out of </span><del style=""background:#ffe6e6;"">two</del><ins style=""background:#e6ffe6;"">deuce</ins><span> </span><ins style=""background:#e6ffe6;"">ma</ins><span>t</span><del style=""background:#ffe6e6;"">hings</del><ins style=""background:#e6ffe6;"">ter</ins><span> that have n</span><del style=""background:#ffe6e6;"">o</del><ins style=""background:#e6ffe6;"">augh</ins><span>t</span><del style=""background:#ffe6e6;"">hing</del><span> to do with each other. It's a tennis match. Do you </span><ins style=""background:#e6ffe6;"">fuc</ins><span>k</span><del style=""background:#ffe6e6;"">now</del><span> the rule? I do. </span><del style=""background:#ffe6e6;"">T</del><ins style=""background:#e6ffe6;"">ord</ins><span>e</span><del style=""background:#ffe6e6;"">ll</del><ins style=""background:#e6ffe6;"">r</ins><span> me what you read.</span>",0.981716,0.5,0.123381991,1
12,Really getting tired of everyone telling me I look like a bitch. Like stop the fucking prejudi'ce you fucking cunt.,0,"[0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0],1,Really getting tired of everyone telling me I look like a bitch. Like stop the fucking prejudice you fucking cunt.,1,"The text is hate speech. The author uses derogatory language ('bitch', 'prejudice', 'fucking cunt') to attack individuals who are making comments about their appearance. The use of derogatory language and insults is an attack on individuals on the basis of gender and is not acceptable.","<span>Really getting tired of everyone telling me I look like a bitch. Like stop the fucking prejudi</span><ins style=""background:#e6ffe6;"">'</ins><span>ce you fucking cunt.</span>",1.0763223,0,0.698205087,1
13,#Metoo 'If all the women have [#rape(d)] wrote 'Me too.' a status we might give people a sense of the problem.”,0,"[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1],1,#Metoo 'If all the women who have been [#rape(d)] wrote 'Me too.' as a status we might give people a sense of the magnitude of the problem.”,0,"The text is not an example of hate speech. It is a statement about the #MeToo movement and the author's suggestion for raising awareness about the issue of sexual assault and harassment. It does not attack a group or an individual on the basis of religion, ethnicity, nationality, race, colour, descent, or other attributes.","<span>#Metoo 'If all the women </span><del style=""background:#ffe6e6;"">who </del><span>have </span><del style=""background:#ffe6e6;"">been </del><span>[#rape(d)] wrote 'Me too.'</span><del style=""background:#ffe6e6;""> as</del><span> a status we might give people a sens</span><del style=""background:#ffe6e6;"">e of the magnitud</del><span>e of the problem.”</span>",1.6221218,1,0.435101589,0
14,person Hey guys... maybe it is okay to communicate at a stratum if you don't make to ruin her? Don't gimme that where do I acquire the attribute crap.,0,"[0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 1
 0 0 0 0 0 0 0]",[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1,@user Hey guys... maybe it is okay to wink at a woman if you don't attempt to rape her? Don't gimme that where do I draw the line crap.,0,"The text is not an example of hate speech. It does not contain any attacks on a group or individuals on the basis of stereotypes of religion, ethnicity, nationality, race, colour, descent, or other attributes.","<del style=""background:#ffe6e6;"">@us</del><ins style=""background:#e6ffe6;"">p</ins><span>er</span><ins style=""background:#e6ffe6;"">son</ins><span> Hey guys... maybe it is okay to </span><del style=""background:#ffe6e6;"">w</del><ins style=""background:#e6ffe6;"">commun</ins><span>i</span><del style=""background:#ffe6e6;"">nk</del><ins style=""background:#e6ffe6;"">cate</ins><span> at a </span><del style=""background:#ffe6e6;"">wo</del><ins style=""background:#e6ffe6;"">stratu</ins><span>m</span><del style=""background:#ffe6e6;"">an</del><span> if you don't </span><ins style=""background:#e6ffe6;"">m</ins><span>a</span><del style=""background:#ffe6e6;"">tt</del><ins style=""background:#e6ffe6;"">k</ins><span>e</span><del style=""background:#ffe6e6;"">mpt</del><span> to r</span><del style=""background:#ffe6e6;"">ape</del><ins style=""background:#e6ffe6;"">uin</ins><span> her? Don't gimme that where do I </span><del style=""background:#ffe6e6;"">d</del><ins style=""background:#e6ffe6;"">acqui</ins><span>r</span><del style=""background:#ffe6e6;"">aw</del><ins style=""background:#e6ffe6;"">e</ins><span> the </span><del style=""background:#ffe6e6;"">l</del><ins style=""background:#e6ffe6;"">attr</ins><span>i</span><del style=""background:#ffe6e6;"">n</del><ins style=""background:#e6ffe6;"">but</ins><span>e crap.</span>",0.2579612,0.5,0.346236654,0
15,@user @user I think CorXy Booker wins the competition for most hysterical woman.,0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0],1,@user @user I think Cory Booker wins the competition for most hysterical woman.,1,"The text is hate speech. The use of words like 'most hysterical woman' is a sexist attack on a male politician, implying that he is weak and emotional like a woman. This reinforces gender stereotypes and is derogatory towards women.","<span>@user @user I think Cor</span><ins style=""background:#e6ffe6;"">X</ins><span>y Booker wins the competition for most hysterical woman.</span>",0.9754579,0.5,0.441017911,1
16,@user Coulter needs to eat a ham sandwich and choke on it. Such a sexist comment. Plenty of RW men are truly hysterica.l. Have you seen how the President acts?,0,"[0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 1 0 0 0 1 1
 0 0 0 0 0 0 0]",[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0],1,@user Coulter needs to eat a ham sandwich and choke on it. Such a sexist comment. Plenty of RW men are truly hysterical. Have you seen how the President acts?,1,The text is hate speech. The author attacks Ann Coulter on the basis of her gender and wishes harm upon her. The author also makes a generalization about 'RW men' and attacks the President on the basis of his behaviour.,"<span>@user Coulter needs to eat a ham sandwich and choke on it. Such a sexist comment. Plenty of RW men are truly hysterica</span><ins style=""background:#e6ffe6;"">.</ins><span>l. Have you seen how the President acts?</span>",1.1562223,0.5,0.716564711,1
17,"@user The guy who has spent five years hiding from a rape inquiry thinsk that a powerful woman is creepy, man…",0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 1]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],1,"@user The guy who has spent five years hiding from a rape inquiry thinks that a powerful woman is creepy, man…",1,"The text is hate speech. The author is attacking a powerful woman on the basis of her gender, and using derogatory language ('creepy') to do so. The reference to a rape inquiry is also potentially defamatory and harmful to the person being referred to.","<span>@user The guy who has spent five years hiding from a rape inquiry thin</span><del style=""background:#ffe6e6;"">k</del><span>s</span><ins style=""background:#e6ffe6;"">k</ins><span> that a powerful woman is creepy, man…</span>",1.3227589,0,0.416155545,1
18,@user @user Illegals too? B#uildThatWall #AmericaFirst God Bless America and @user,1,"[0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 1 0 0 0 0 1
 0 0 0 0 0 0 0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],1,@user @user Illegals too? #BuildThatWall #AmericaFirst God Bless America and @user,1,"The text is hate speech. The use of the term 'illegals' dehumanizes and attacks a group of people on the basis of their immigration status. The hashtag 'B#uildThatWall' further perpetuates this attack on immigrants, and the use of 'AmericaFirst' implies that immigrants are not welcome in America.","<span>@user @user Illegals too? </span><del style=""background:#ffe6e6;"">#</del><span>B</span><ins style=""background:#e6ffe6;"">#</ins><span>uildThatWall #AmericaFirst God Bless America and @user</span>",1.7595494,0.5,0.461184005,0
19,Bulgaria says it ‘˜will not readmit migrants rest from of EU’,0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0
 0 0 1 0 0 0 0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0],1,Bulgaria says it ‘˜will not readmit migrants from rest of EU’,1,The text is hate speech. The use of the word 'migrants' indicates that the author is targeting a specific group of people based on their nationality or immigration status. The statement 'will not readmit' suggests a discriminatory attitude towards this group.,"<span>Bulgaria says it ‘˜will not readmit migrants </span><del style=""background:#ffe6e6;"">from </del><span>rest</span><ins style=""background:#e6ffe6;""> from</ins><span> of EU’</span>",2.174035,1,0.410635448,1
20,#BuildThMatWall ALREADY,1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 1 0 0]",[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0],1,#BuildThatWall ALREADY,1,"The text is hate speech. The use of the hashtag #BuildThMatWall indicates that the author is promoting the construction of a wall to keep out a specific group of people, likely immigrants. This is an attack on a group of people on the basis of their nationality or immigration status.","<span>#BuildTh</span><ins style=""background:#e6ffe6;"">M</ins><span>atWall ALREADY</span>",0.80703795,0,0.1925781,0
21,"@user @user @user samantha why dont you just shut the fuck up and mind your own damn business. this whole situation HAS NOTHING to d%o with you, so why you out here running your fat mouth? if she wanted to sell her pussy she wou",1,"[0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 1 1 1 0 0 1 0 1 0 1 0 0 1
 0 0 0 0 0 0 0]",[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0],1,"@user @user @user samantha why dont you just shut the fuck up and mind your own damn business. this whole situation HAS NOTHING to do with you, so why you out here running your fat mouth? if she wanted to sell her pussy she wou",1,"The text is hate speech. The use of derogatory language like 'shut the fuck up', 'running your fat mouth', and 'sell her pussy' is attacking an individual on the basis of gender and body shaming. The language used is abusive and offensive.","<span>@user @user @user samantha why dont you just shut the fuck up and mind your own damn business. this whole situation HAS NOTHING to d</span><ins style=""background:#e6ffe6;"">%</ins><span>o with you, so why you out here running your fat mouth? if she wanted to sell her pussy she wou</span>",0.9203379,0.857142857,0.670436615,0
22,@user @user @user Majority of them never file an asylum claHm once the are release inside the U.S its a big SCAM !  a lot of the migrants did not pick their kids up they left them so they can get welfare and a free Education on taxpa,1,"[0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 1 1 0 0 0 0 0 0 0 1 1 0
 0 0 0 0 1 0 0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0],1,@user @user @user Majority of them never file an asylum claim once the are release inside the U.S its a big SCAM !  a lot of the migrants did not pick their kids up they left them so they can get welfare and a free Education on taxpa,1,"The text is hate speech. The use of words like 'them', 'migrants', and 'SCAM' indicates that the author is attacking a group of people based on their nationality or immigration status. The author also makes unfounded claims about the group's intentions and actions, which further perpetuates harmful stereotypes.","<span>@user @user @user Majority of them never file an asylum cla</span><del style=""background:#ffe6e6;"">i</del><ins style=""background:#e6ffe6;"">H</ins><span>m once the are release inside the U.S its a big SCAM !  a lot of the migrants did not pick their kids up they left them so they can get welfare and a free Education on taxpa</span>",0.98725647,0.857142857,0.721402172,0
23,"Yep, by stoning women to death when they report reporting. No rape. No more scandals.",0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0
 0 0 0 0 1 0 0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0],1,"Yep, by stoning women to death when they report rape. No reporting. No more scandals.",1,"The text is hate speech. The author advocates for violence against women, specifically stoning them to death, and suggests that this would prevent rape and scandals. This is an attack on a group of people based on their gender and is not acceptable.","<span>Yep, by stoning women to death when they report r</span><del style=""background:#ffe6e6;"">ape. No r</del><span>eporting</span><ins style=""background:#e6ffe6;"">. No rape</ins><span>. No more scandals.</span>",1.2852292,0,0.731065692,1
